beside	ondoan
suppose	usteizan
accord	eman
assign	eman
assign	esleitu
bestow	eman
broadcast	eman
dedicate	eman
dedicate	eskaini
pass	eman
pass	igaro
pass	iragan
pass	pasatu
screen	eman
emancipate	emantzipatu
temper	ematu
hinder	enbarazuegin
hinder	oztopatu
hinder	trabatu
cheat	engainatu
deceive	engainatu
dupe	engainatu
fool	engainatu
mesh	engranatu
auction	enkanteaegin
encrypt	enkriptatu
employ	enplegatu
hand	entregatu
train	entrenatu
train	hezi
coach	entrenatu
entertain	entretenitu
entertain	jostatu
listen	entzun
hear	entzun
bill	enuntziatu
norbaiti	enuntziatu
adjudicate	epailelanakegin
judge	epaitu
judge	juzgatu
settle	erabaki
handle	erabili
handle	maneiatu
operate	erabili
operate	funtzionatu
operate	maneiatu
operate	operatu
use	erabili
use	usatu
utilise	erabili
wield	erabili
suckle	eradoski
inflict	eragin
induce	eragin
induce	probokatu
influence	eragin
motivate	eragin
provoke	eragin
provoke	zirikatu
trigger	eragin
trigger	zirikatu
stirup	eragin
occasion	eragin
stir	eragin
prevent	eragotzi
prevent	galarazi
impede	eragotzi
intercept	eragotzi
construct	eraiki
kill	erail
kill	ero
kill	hil
murder	erail
murder	hil
demolish	eraitsi
level	eraitsi
level	nibelatu
attract	erakarri
decoy	erakarri
entice	erakarri
lure	erakarri
reconcile	erakarri
indicate	erakutsi
teach	erakutsi
teach	irakatsi
exhibit	erakutsi
expose	erakutsi
deploy	erakutsi
deploy	zabaldu
spend	eralgi
spend	gastatu
spend	igaro
spend	iragan
drive	eraman
drive	gidatu
carry	eraman
carry	garraiatu
wear	eraman
bear	eraman
bear	eutsi
ferry	eraman
shepherd	eraman
wheel	eraman
add	erantsi
add	gaineratu
add	gehitu
incorporate	erantsi
attach	erantsi
attach	finkatu
include	erantsi
include	hartu
erantzule	hartu
answer	erantzun
reply	erantzun
reply	ihardetsi
respond	erantzun
affect	erasan
affect	hunkitu
harass	eraso
strike	eraso
strike	erasotu
strike	jazarri
strike	jo
blast	eraso
blast	erasotu
blast	heganegin
blast	jazarri
blast	leherrarazi
assault	eraso
beset	eraso
hound	eraso
raid	eraso
ram	eraso
savage	eraso
storm	eraso
derive	eratorri
derive	hartu
derive	jitoanegon
form	eratu
form	formatu
eradicate	erauzi
banish	erbesteratu
exile	erbesteratu
despise	erdeinatu
despise	gutxietsi
disdain	erdeinatu
scorn	erdeinatu
snub	erdeinatu
sneer	erdeinuzkokeinuaegin
bisect	erdibitu
achieve	erdietsi
achieve	eskuratu
achieve	lortu
get	erdietsi
get	eskuratu
get	hartu
get	iritsi
get	lortu
getholdof	erdietsi
getholdof	eskuratu
getholdof	lortu
attain	erdietsi
attain	lortu
reach	erdietsi
reach	lortu
halve	erdirajaitsi
center	erdiratu
centre	erdiratu
focus	erdiratu
focus	fokatu
whelp	erditu
glimpse	erdizkaikusi
erdizka	erdizkaikusi
seed	erein
sow	erein
belch	erion
exude	erion
ooze	erion
relate	erlazionatu
relate	kontatu
mate	ernaldu
alert	ernejarri
annoy	ernegatu
annoy	molestatu
topple	erorarazi
collapse	erori
collapse	kolapsatu
sag	erori
succumb	erori
tumble	erori
buy	erosi
acquire	erosi
bribe	erosi
purchase	erosi
shop	erosi
erosteko	erosi
afford	proportzionatu
madden	erotu
madden	zoratu
say	erran
say	esan
tell	erran
tell	esan
char	erraustu
cremate	erraustu
incinerate	erraustu
facilitate	erraztu
smoke	erre
burn	erre
burn	kiskali
blaze	erre
roast	erre
scorch	erre
smart	erre
react	erreakzionatu
reform	erreformatu
fuel	erregaiabota
log	erregistratu
register	erregistratu
register	miatu
stew	erregosi
pray	erregutu
pray	errezatu
pray	otoitzegin
beg	erregutu
eske	erregutu
entreat	erregutu
reign	erreinatu
demand	erreklamazioaegin
demand	eskatu
demand	exijitu
rivet	errematxatu
remedy	erremediatu
repair	erreparatu
repair	konpondu
reiterate	errepikatu
repeat	errepikatu
suppress	erreprimitu
book	erreserbatu
book	gorde
reserve	erreserbatu
reserve	gorde
rescue	erreskatatu
rescue	salbatu
respect	errespetatu
recall	erretiratu
recall	gogoratu
recall	oroitu
withdraw	erretiratu
withdraw	kendu
retire	erretiratu
recite	errezitatu
quarrel	errietaegin
scold	errietaegin
rhyme	errimatu
film	errodatu
film	filmatu
go	errodatu
go	joan
root	errotu
root	sustraitu
errua	sustraitu
pity	errukitu
spawn	errun
comment	esan
comment	iruzkinaegin
comment	komentatu
confide	esan
speak	esan
speak	hitzegin
speak	mintzatu
utter	esan
mean	esannahiedun
obey	esanaegin
seat	eseri
seat	jarri
sit	eseri
sit	jarri
sitdown	eseri
sitdown	jarri
perch	eseri
chase	esetsi
chase	jarraitu
lortu	jarraitu
pursue	esetsi
pursue	jarraitu
petition	eskaeraegin
offer	eskaini
offer	topaegin
proffer	eskaini
volunteer	eskaini
scale	eskalatu
scandalise	eskandalizatu
stint	eskaserabili
ask	eskatu
ask	galdegin
ask	galdetu
askfor	eskatu
callfor	eskatu
request	eskatu
presuppose	eskatu
applyfor	eskatu
solicit	eskatu
appeal	eskatu
ski	eskiatu
eskolta	eskiatu
eskujokoetan	eskiatu
intervene	eskuhartu
intervene	partehartu
eskua	partehartu
cup	eskuakkatiluformanjarri
brush	eskuilatu
excommunicate	eskumikatu
delegate	eskuordetu
eskupekoa	eskuordetu
enamel	esmaltatu
arouse	esnatu
gogora	esnatu
arouse	sutu
awaken	esnatu
awake	esnatu
wake	esnatu
wakeup	esnatu
rouse	esnatu
waken	esnatu
speculate	espekulatu
imprison	espetxeratu
imprison	kartzelaratu
imprison	kartzelatu
jail	espetxeratu
specialise	espezializatu
spy	espiatu
spy	zelatatu
exploit	esplotatu
export	esportatu
cap	estali
coat	estali
mantle	estali
overlay	estali
smother	estali
standardise	estandarizatu
stereotype	estereotipatu
estimate	estimatu
estimate	kalkulatu
consider	estimatu
consider	gogoanhartu
consider	kontuanhartu
prize	estimatu
première	estreinatu
study	estudiatu
study	ikasi
tighten	estutu
tighten	sakatu
tighten	tenkatu
narrow	estutu
press	estutu
squeeze	estutu
etekina	estutu
break	eten
break	hautsi
break	hondatu
break	izorratu
disrupt	eten
interrupt	eten
interrupt	moztu
rupture	eten
suspend	eten
pause	etenaldibategin
pause	gelditu
label	etiketatu
tag	etiketatu
come	etorri
tame	etxekotu
shower	euriaariedun
shower	ihinztatu
rain	euriaariedun
hold	eutsi
resist	eutsi
restrain	eutsi
uphold	eutsi
omit	ezegin
fox	ezaurreraezatzerautzi
breach	ezbete
default	ezbete
lack	ezukan
efface	ezabatu
disclose	ezagutarazi
reveal	ezagutarazi
know	ezagutu
know	jakin
establish	ezarri
establish	sortu
put	ezarri
put	jarri
put	paratu
put	sartu
implant	ezarri
impose	ezarri
impose	inposatu
characterise	ezaugarriizan
abolish	ezeztatu
contradict	ezeztatu
override	ezeztatu
repeal	ezeztatu
marry	ezkondu
wed	ezkondu
wax	ezkozestali
hide	ezkutatu
hide	gorde
obscure	ezkutatu
obscure	ilundu
secrete	ezkutatu
secrete	jariatu
ezkutuan	jariatu
ezkutuan	jariatu
splinter	ezpaldu
ezproiez	ezpaldu
debate	eztabaidatu
deliberate	eztabaidatu
dispute	eztabaidatu
cough	eztulegin
faktura	eztulegin
bemissing	faltatu
counterfeit	faltsutu
fake	faltsutu
falsify	faltsutu
rustle	farfaregin
gabble	farfuilatu
faxez	farfuilatu
shoe	ferratu
rely	fidatu
trust	fidatu
depend	fidatu
depend	mendekoizan
finance	finantzatu
fund	finantzatu
refine	findu
appoint	finkatu
appoint	izendatu
consolidate	finkatu
clip	finkatu
ensure	finkatu
ensure	ziurtatu
entrench	finkatu
float	flotatu
fluctuate	fluktuatu
forge	forjatu
forma	forjatu
format	formateatu
formulate	formulatu
line	forratu
fossilise	fosildu
photograph	fotografiatu
photocopy	fotokopiatu
frank	frankeatu
cool	freskatu
cool	hoztu
freshen	freskatu
refresh	freskatu
fry	frijitu
demonstrate	frogatu
prove	frogatu
prove	probatu
frutari	probatu
found	fundatu
found	sortu
function	funtzionatu
run	funtzionatu
run	korrikaegin
run	korritu
work	funtzionatu
work	lanegin
work	landu
deprive	gabetu
prevail	gailendu
browse	gainbegiratu
oversee	gainbegiratu
superintend	gainbegiratu
supervise	gainbegiratu
degenerate	gainbeheratu
exceed	gainditu
surpass	gainditu
overcome	gainditu
overcome	garaitu
surmount	gainditu
transcend	gainditu
weather	gainditu
overdose	gaindosibathartu
gainean	gaindosibathartu
ride	zamalkatu
superimpose	gainjarri
overlap	gainjarri
overload	gainkargatu
gaitasuna	gainkargatu
condemn	gaitzetsi
condemn	kondenatu
condemn	zigortu
convict	gaitzetsi
convict	kondenatu
convict	zigortu
abhor	gaitzetsi
gaizki	gaitzetsi
gaizki	gaitzetsi
gaizki	gaitzetsi
gaizki	gaitzetsi
aggravate	gaizkiagotu
aggravate	larriagotu
fester	gaizkoatu
infect	gaizkoatu
infect	infektatu
inhibit	galarazi
inhibit	inhibitu
stunt	galarazi
corrupt	galbideratu
smelt	galdatu
interrogate	galdekatu
quiz	galdekatu
question	galderaegin
enquire	galdetu
query	galdetu
lose	galdu
miss	galdu
miss	hutsegin
damage	galdu
damage	kaltetu
damage	mindu
forfeit	galdu
harm	galdu
harm	minegin
mislay	galdu
pervert	galdu
stray	galdu
galvanise	galvanizatu
garaiagoa	galvanizatu
win	garaitu
win	irabazi
defeat	garaitu
rout	garaitu
triumph	garaitu
vanquish	garaitu
develop	garatu
develop	hedatu
wash	garbitu
clean	garbitu
purge	garbitu
wipe	garbitu
garia	garbitu
convey	garraiatu
convey	transmititu
transport	garraiatu
scream	garrasiegin
cry	garrasiegin
cry	negaregin
cry	oihuegin
shout	garrasiegin
shout	oihuegin
shriek	garrasiegin
yell	garrasiegin
flare	gartu
curdle	gatzatu
carryout	gauzatu
materialise	gauzatu
salt	gazitu
gehiago	gazitu
gehiegi	gazitu
augment	gehitu
staunch	geldiarazi
stem	geldiarazi
halt	gelditu
stall	gelditu
beleft	gelditu
remain	gelditu
remain	sobratu
stay	gelditu
linger	gelditu
steady	gelditu
geldo	gelditu
geroko	gelditu
occur	gertatu
occur	jazo
happen	gertatu
happen	igaro
happen	iragan
gertutik	iragan
geruzatan	iragan
stratify	geruzatu
lie	gezurerran
lie	gezurraesan
deny	gezurtatu
deny	ukatu
refute	gezurtatu
manoeuvre	gidatu
marshal	gidatu
steer	gidatu
guillotine	gillotinatu
enclose	giltzaperatu
enclose	hesitu
shut	giltzaperatu
shut	itxi
shut	zarratu
girgiluak	zarratu
acclimatise	girotu
fatten	gizendu
fatten	loditu
embody	gizonegin
govern	gobernatu
rule	gobernatu
sail	gobernatu
sail	nabigatu
badger	gogaitarazi
bother	gogaitu
bother	molestatu
plague	gogaitu
vex	gogaitu
suspect	goganbehartu
suspect	susmatu
contrive	gogoanerabili
contrive	lortu
regard	gogoanhartu
regard	iritzi
reckon	gogoanhartu
reckon	kalkulatu
chuckle	gogoarieutsizbarreegin
think	gogoetaegin
think	iritzi
think	pentsatu
muse	gogoetaegin
discourage	gogogabetu
slave	gogorlanegin
pan	gogorkritikatu
slate	gogorkritikatu
evoke	gogorarazi
evoke	gogoratu
toughen	gogortu
harden	gogortu
plough	goldatu
plough	landu
recommend	gomendatu
invite	gonbidatu
goup	goraegin
goup	igo
acclaim	goraipatu
heave	goratu
heave	tentetu
heave	tiratu
guard	gorde
withhold	gorde
goren	gorde
praise	goretsi
redden	gorritu
blush	gorritu
flush	gorritu
detest	gorrotatu
hate	gorrotatu
loathe	gorrotatu
court	gorteiatu
woo	gorteiatu
behungry	gosetu
fortify	gotortu
sweeten	gozatu
record	grabatu
record	jaso
engrave	grabatu
tape	grabatu
gravitate	grabitatu
staple	grapatu
guraizez	grapatu
gurinez	grapatu
worship	gurtu
cross	gurutzatu
cross	zeharkatu
intersect	gurutzatu
fancy	gustatu
slight	gutxietsi
underestimate	gutxietsi
diminish	gutxitu
decline	gutxitu
decrease	gutxitu
lessen	gutxitu
nest	habiaegin
haize	habiaegin
stretch	handiagotu
stretch	hedatu
grow	handitu
grow	hazi
grow	landu
getbigger	handitu
getbigger	hazi
enlarge	handitu
magnify	handitu
swell	handitu
blunder	hankasartu
pace	harathonatibili
roam	harathonatibili
subscribe	harpidetu
snatch	harrapatu
snatch	heldu
trap	harrapatu
catch	harrapatu
catch	hartu
grab	harrapatu
snare	harrapatu
contact	harremanetanjarri
surprise	harritu
baffle	harritu
amaze	harritu
astonish	harritu
disconcert	harritu
flummox	harritu
puzzle	harritu
stagger	harritu
harriz	harritu
harrobitik	harritu
harrokeriaz	harritu
boast	usteizan
inflate	harrotu
inflate	puztu
absorb	hartu
absorb	xurgatu
grasp	hartu
grasp	heldu
pickup	hartu
pickup	jaso
reachfor	hartu
seize	hartu
seize	heldu
occupy	hartu
occupy	okupatu
receive	hartu
receive	jaso
bag	hartu
borrow	hartu
encompass	hartu
encroach	hartu
foster	hartu
scoop	hartu
ferment	hartzitu
anger	haserretu
enrage	haserretu
feud	haserretu
incense	haserretu
irritate	haserretu
commence	hasi
begin	hasi
start	hasi
getstarted	hasi
undertake	hasi
head	hasi
top	hasi
top	koroatu
sigh	hasperenegin
brood	hausnartu
contemplate	hausnartu
contemplate	kontenplatu
meditate	hausnartu
ponder	hausnartu
ruminate	hausnartu
pulverise	haustu
perceive	hauteman
perceive	nabaritu
hautsa	nabaritu
powder	hautseztatu
contravene	hautsi
crack	hautsi
crack	zartatu
fracture	hautsi
snap	hautsi
violate	hautsi
breed	hazi
breed	sortu
rear	hazi
extend	hedatu
spread	hedatu
tend	hedatu
tend	zaindu
soar	hegaldatu
fly	heganegin
fly	pilotatu
hegazkinez	pilotatu
hegoei	pilotatu
mature	heldu
cling	heldu
grip	heldu
ripen	heldu
sting	heldu
resort	helegiteaaurkeztu
rust	herdoildu
inherit	heredatu
oinordetzan	heredatu
hobble	herrenegin
limp	herrenegin
drag	herrestatu
shuffle	herrestatu
trail	herrestatu
bandage	hesgailuajarri
fence	hesitu
hedge	hesitu
stake	hesolakjarri
dampen	hezetu
damp	hezetu
educate	hezi
bone	hezurgabetu
hibernate	hibernatu
winter	hibernatu
erode	higatu
power	higiarazi
propel	higiarazi
higuin	higiarazi
disgust	higuindu
die	hil
die	zendu
assassinate	hil
butcher	hil
perish	hil
slay	hil
immortalise	hilezkortu
hypnotise	hipnotizatu
mortgage	hipotekatu
treble	hirukoiztu
triple	hirukoiztu
talk	hitzegin
talk	mintzatu
chatter	hitzegin
hitz	hitzegin
improve	hoberaegin
improve	hobetu
getbetter	hoberaegin
getbetter	hobetu
perfect	hobetu
upgrade	hobetu
bury	hobiratu
bury	lurperatu
hodiz	lurperatu
strand	hondartu
destroy	hondatu
destroy	suntsitu
destroy	txikitu
botch	hondatu
mar	hondatu
ravage	hondatu
ruin	hondatu
ruin	zapuztu
spoil	hondatu
trash	hondatu
wreck	hondatu
excavate	hondeatu
lurpetik	hondeatu
undermine	hondeatu
hondoa	hondeatu
sink	hondoratu
founder	hondoratu
cater	hornitu
janariz	hornitu
equip	hornitu
provide	hornitu
provide	proportzionatu
stock	hornitu
germinate	hozitu
nibble	hozkatu
numb	hozmindu
chill	hoztu
touch	hunkitu
touch	ukitu
thrill	hunkitu
impress	hunkitu
shock	hunkitu
shock	ikaratu
approximate	hurbildu
accost	hurbildu
approach	hurbildu
near	hurbildu
sip	hurrupatu
empty	hustu
fail	hutsegin
fail	porrotegin
err	hutsegin
frustrate	hutsegin
hike	ibilaldiaegin
immobilise	ibilgetu
circulate	ibili
walk	ibili
travelacross	ibili
trek	ibili
type	idatzi
type	mekanografiatu
write	idatzi
draft	idatzi
draft	zirriborroaegin
pen	idatzi
identify	identifikatu
nor	identifikatu
idolise	idolatratu
elapse	igaro
plaster	igeltsuztatu
swim	igeriegin
climb	igo
geton	igo
ascend	igo
elevate	igo
elevate	jaso
mount	igo
remit	igorri
dispatch	igorri
emit	igorri
rub	igurtzi
scour	igurtzizgarbitu
scour	miatu
scrub	igurtzizgarbitu
retort	ihardetsi
shrivel	ihartu
escape	ihesegin
escape	ihesi
escape	itzuri
flee	ihesegin
ihesa	ihesegin
frighten	ikaratu
frighten	izutu
scare	ikaratu
scare	izutu
flinch	ikaratu
shudder	ikaratu
learn	ikasi
ikasketak	ikasi
vet	ikertu
witness	ikusi
see	ikusi
view	ikusi
view	iritzi
spot	ikusi
visualise	ikusi
inspect	ikuskatu
ikusmiran	ikuskatu
nose	ikusmiratu
snoop	ikusmiratu
sight	ikustatu
queue	ilaranjarri
ilea	ilaranjarri
pin	iltzatu
orratzez	iltzatu
nail	iltzatu
darken	ilundu
shadow	ilundu
illustrate	ilustratu
illustrate	irudiztatu
imagine	imajinatu
imagine	iruditu
picture	imajinatu
immunise	immunizatu
nip	imurtxiegin
pinch	imurtxiegin
prune	inausi
invade	inbaditu
grapple	indaregin
flag	indargabetu
cushion	indargetu
indarrez	indargetu
jam	indarrezsartu
reinforce	indartu
bolster	indartu
strengthen	indartu
infiltrate	infiltratu
brief	informatu
inform	informatu
inform	jakinarazi
report	informatu
report	salatu
inquire	informatu
surround	inguratu
bypass	inguratu
corner	inguratu
mob	inguratu
round	inguratu
skirt	inguratu
maraud	inguruanibili
prowl	inguruanibili
initial	inizialakjarri
inject	injektatu
poll	inkestatu
levy	inposatu
print	inprimatu
output	inprimatu
impute	inputatu
install	instalatu
install	kokatu
interest	interesatu
interest	zaletu
interpret	interpretatu
construe	interpretatu
inseminate	intseminatu
tingle	inurritu
situate	ipini
ipurdikoak	ipini
earn	irabazi
earn	kobratu
gain	irabazi
gain	lortu
incur	irabazi
whisk	irabiatu
suggest	iradoki
moot	iradoki
herald	iragarri
filter	iragazi
percolate	iragazi
seep	iragazi
revile	iraindu
boil	irakin
read	irakurri
dump	irauli
ondotik	irauli
overturn	irauli
last	iraun
persist	iraun
persist	norbereanegon
expire	iraungi
extinguish	iraungi
open	ireki
open	zabaldu
unlock	ireki
unscrew	ireki
swallow	irentsi
devour	irentsi
looklike	iritzi
looklike	iruditu
term	iritzi
smile	irribarreegin
grin	irribarreegin
crave	irrikatu
yearn	irrikatu
irrikaz	irrikatu
neigh	irrintziegin
whinny	irrintziegin
skid	irristegin
slip	irristatu
slide	irristatu
arise	irten
arise	sortu
stream	irten
irtirin	irten
deem	iruditu
con	iruzuregin
defraud	iruzuregin
mislead	iruzuregin
swindle	iruzuregin
scoff	isekaegin
taunt	isekaegin
isilmisilka	isekaegin
scotch	isilarazi
silence	isilarazi
isilean	isilarazi
isilean	isilarazi
reflect	islatu
mirror	islatu
insulate	isolatu
istiluak	isolatu
fine	isundu
shed	isuri
shed	kendu
spill	isuri
pour	isuri
choke	ito
drown	ito
drown	urpetu
stifle	ito
strangle	ito
throttle	ito
itopuntuan	ito
itsasontzia	ito
punch	itsatsi
punch	jo
adhere	itsatsi
affix	itsatsi
bond	itsatsi
glue	itsatsi
paste	itsatsi
blind	itsutu
dazzle	itsutu
dazzle	liluratu
itxaro	liluratu
expect	zainegon
wait	itxaron
wait	zainegon
itxaropena	zainegon
lock	itxi
lock	zarratu
shutdown	itxi
shutdown	zarratu
clinch	itxi
feign	itxuraegin
pretend	itxuraegin
pretend	nahiizan
sham	itxuraegin
simulate	itxuraegin
simulate	simulatu
impersonate	itxurakegin
misrepresent	itxuraldatu
configure	itxuratu
shade	itzalaegin
shade	ñabartu
turnoff	itzali
douse	itzali
quench	itzali
giveback	itzuli
return	itzuli
sendback	itzuli
translate	itzuli
reinstate	itzuli
revert	itzuli
somersault	itzulipurdiegin
itzultzeko	itzulipurdiegin
shun	itzuri
shun	saihestu
consist	izan
turnout	izan
constitute	izan
constitute	osatu
harbour	izan
name	izenajarri
name	izendatu
denigrate	izenakendu
discredit	izenakendu
title	izenburuaedun
denominate	izendatu
designate	izendatu
sign	izenpetu
sign	sinatu
sweat	izerditu
bust	izorratu
dukeship	duketza
bottom	azpi
bottom	behe
bottom	ipurdi
gut	errai
gut	tripa
grill	erretoki
EuropeanArrestWarrent	euroagindu
etcetera	etaabar
forestroad	oiharbide
forestroad	oihanbide
winterquarters	negutegi
naturalness	naturaltasun
egocentrism	egozentrismo
mountainclimbing	alpinismo
livestock	azienda
livestock	ganadu
ranching	ganadutegi
Spanish	gaztelania
Castilian	gaztelau
Castilian	gaztelera
genesis	genesi
increase	garestitze
increase	gehikuntza
increase	handiagotze
spillage	isurketa
compass	itsasorratz
compass	iparrorratz
Pamplonese	iruindar
food	janari
food	bazkari
food	jan
food	elikagarri
narrator	jaulkitzaile
narrator	kontalari
lifecycle	iraunaldi
bun	opil
coldsore	kalentura
caffeine	kafeina
van	kamioneta
van	furgoneta
tent	kanpadenda
tent	denda
streetlight	kaleargi
Navarrese	nafar
lime	kare
limestone	kareharri
lawcode	foru
lent	garizuma
accomplice	gaizkide
izotz	gaizkide
freeze	izoztu
ice	izoztu
izugarri	izoztu
izugarri	izoztu
izugarri	izoztu
ripple	izurtu
panic	izutu
startle	izutu
terrify	izutu
rebel	jaiki
revolt	jaiki
beborn	jaio
ebb	jaitsi
master	jakin
jakinmina	jakin
jakin	jakin
notify	jakinarazi
corrode	jan
janaria	jan
dress	jantzi
flow	jariatu
follow	jarraiki
follow	jarraitu
follow	segitu
track	jarraiki
track	jarraitu
track	segitu
continue	jarraitu
goon	jarraitu
keepon	jarraitu
dog	jarraitu
ensue	jarraitu
proceed	jarraitu
proceed	jatorriaedun
interpose	jarri
dispose	jarri
place	jarri
position	jarri
set	jarri
set	paratu
station	jarri
suffer	jasan
suffer	pairatu
suffer	sufritu
abide	jasan
endure	jasan
stomach	jasan
tolerate	jasan
tolerate	toleratu
withstand	jasan
lift	jaso
shrug	jaso
jaten	jaso
launch	jaurti
sling	jaurti
fling	jaurti
hurl	jaurti
pitch	jaurti
toss	jaurti
jump	jauziegin
leap	jauziegin
spring	jauziegin
jerk	jauziegin
pounce	jauziegin
vault	jauziegin
jauzika	jauziegin
persecute	jazarri
populate	jendeztatu
populate	populatu
people	jendeztatu
milk	jetzi
thrash	jipoitu
wallop	jipoitu
whack	jipoitu
jiraka	jipoitu
bang	jo
knock	jo
sound	jo
batter	jo
belt	jo
buffet	jo
illtreat	jo
impact	jo
pound	jo
rap	jo
slug	jo
thump	jo
toll	jo
act	jokatu
gamble	jokatu
fiddle	jolastu
romp	jolastu
sew	josi
stitch	josi
suture	josi
justify	justifikatu
legitimate	justifikatu
vindicate	justifikatu
cackle	kakaraegin
gauge	kalibratu
zone	kalifikatu
calculate	kalkulatu
tally	kalkulatu
kalteordaina	kalkulatu
libel	kalumniatu
slander	kalumniatu
camp	kanpatu
vent	kanporatu
sing	kantatu
camouflage	kamuflatu
chant	kantatu
capitulate	kapitulatu
capitulate	klaudikatu
lime	kareztatu
whitewash	kareztatu
load	kargatu
load	leporatu
load	zamatu
weight	kargatu
scrape	karrakatu
quack	karrankaegin
creak	karraskatu
incarcerate	kartzelatu
disregard	kasurikezegin
catalogue	katalogatu
unchain	kateakendu
chain	kateatu
semaphore	keinukodeztransmititu
gesticulate	keinuegin
gesture	keinuegin
grimace	keinuegin
motion	keinuegin
axe	kendu
deduct	kendu
subtract	kenketaegin
gripe	kexatu
grouse	kexatu
grumble	kexatu
upset	kezkatu
upset	nahigabetu
fret	kezkatu
niggle	kezkatu
bankrupt	kiebraegin
cringe	kikildu
quail	kikildu
tickle	kilikiliegin
shy	kilimoloegin
kimuak	kilimoloegin
kiribilak	kilimoloegin
squeak	kirrinkaegin
kisketaz	kirrinkaegin
stoke	kitzikatu
curl	kizkurtu
classify	klasifikatu
classify	sailkatu
blink	kliskatu
flicker	kliskatu
clone	klonatu
quarantine	koarentenanjarri
charge	kobratu
cash	kobratu
code	kodetu
encode	kodifikatu
koilaraz	kodifikatu
grease	koipetu
grease	koipeztatu
oil	koipeztatu
alight	kokatu
base	kokatu
base	oinarritu
site	kokatu
cement	kolatu
hesitate	kolokatu
hesitate	zalantzaegin
colonise	kolonizatu
dye	koloratu
dye	tindatu
fade	koloregabetu
injure	kolpatu
injure	zauritu
kolpe	zauritu
kolpe	zauritu
kolpea	zauritu
commercialise	komertzializatu
commercialise	merkaturatu
commute	kommutatu
communicate	komunikatu
getacross	komunikatu
getacross	zeharkatu
link	komunikatu
link	lotu
convince	konbentzitu
combine	konbinatu
wire	konektatu
confiscate	konfiskatu
impound	konfiskatu
conquer	konkistatu
buckle	konkortu
compare	konparatu
compensate	konpentsatu
comply	konplitu
solve	konpondu
mend	konpondu
resolve	konpondu
compress	konprimitu
compress	trinkotu
engage	konprometitu
engage	kontratatu
conspire	konspiratu
count	kontatu
count	zenbatu
recount	kontatu
content	kontentatu
smuggle	kontrabandoansartu
hireout	kontratatu
contract	kontratatu
contract	uzkurtu
control	kontrolatu
monitor	kontrolatu
curb	kontrolatu
comfort	kontsolatu
consult	kontsultaegin
consult	kontsultatu
consume	kontsumitu
kontua	kontsumitu
bank	pilatu
heed	kontuanhartu
twig	konturatu
concentrate	kontzentratu
coordinate	koordinatu
duplicate	kopiaegin
copy	kopiatu
complicate	korapilatu
complicate	zaildu
kordak	zaildu
crown	koroatu
race	korrikaegin
race	korritu
lasterketan	korritu
scroll	korritu
kremaileraz	korritu
click	kriskitinegin
crystallise	kristaldu
criticise	kritikatu
fault	kritikatu
stick	krokatu
stick	sartu
hook	krokatu
quantify	kuantifikatu
cube	kubotanzatitu
dice	kubotanzatitu
crow	kukurrukuegin
swing	kulunkatu
sway	kulunkatu
oscillate	kulunkatu
bob	kulunkatu
curve	kurbatu
pollute	kutsatu
contaminate	kutsatu
recapitulate	laburbildu
abbreviate	laburtu
precis	laburtu
shorten	laburtu
summarise	laburtu
giveup	laga
giveup	utzi
lend	laga
lend	utzi
let	laga
let	utzi
accompany	lagundu
help	lagundu
aid	lagundu
contribute	lagundu
contribute	zergaeman
usher	lagundu
invoke	laguntzaeskatu
laguntza	laguntzaeskatu
outrage	laidotu
spray	lainoztatu
lakioz	lainoztatu
labour	lanegin
workincoordination	lankoordinatuaegin
overwork	langehiegiegin
lanbasez	langehiegiegin
bed	landatu
bed	ostatueman
plant	landatu
pot	landatu
cultivate	landu
farm	landu
carve	landu
langilez	landu
lantzaz	landu
lantzetaz	landu
lapitzez	landu
mug	lapurretaegin
burgle	lapurtu
rifle	lapurtu
rob	lapurtu
babble	lardaskatu
bungle	lardaskatu
fuss	larritu
overwhelm	larritu
fuck	larruajo
bitch	larrutu
skin	larrutu
reassure	lasaitu
loosen	lasaitu
placate	lasaitu
scurry	lasterkaihesegin
lasterka	lasterkaihesegin
lau	lasterkaihesegin
commend	laudatu
extol	laudatu
lauhazka	laudatu
gallop	lauhazkatu
quadruple	laukoiztu
quarter	laurdendu
adulate	lausengatu
fawn	lausengatu
flatter	lausengatu
flatter	losintxatu
blur	lausotu
flatten	lautu
stroke	laztandu
caress	laztandu
finger	laztandu
fondle	laztandu
lap	laztandu
pet	laztandu
regenerate	leheneratu
prefer	lehenetsi
burst	lehertu
backfire	lehertu
erupt	lehertu
explode	lehertu
explode	zartarazi
pop	lehertu
guffaw	lehertubeharreanbarreegin
compete	lehiatu
contend	lehiatu
jockey	lehiatu
vie	lehiatu
disembark	lehorreratu
dry	lehortu
lekukotasuna	lehortu
behead	lepoamoztu
burden	leporatu
burden	zamatu
holdresponsible	leporatu
lerdea	leporatu
lineup	lerrokatu
align	lerrokatu
spell	letreiatu
smooth	leundu
humanise	leundu
mellow	leundu
polish	leundu
rid	libratu
likido	libratu
seduce	liluratu
seduce	limurtu
charm	liluratu
enthral	liluratu
entrance	liluratu
fascinate	liluratu
ravish	liluratu
persuade	limurtu
lynch	lintxatu
squabble	liskartu
wrangle	liskartu
fray	listu
listua	listu
sand	lixatu
graduate	lizentziatu
sleep	loegin
slumber	loegin
