abject	abyecto
Oiartzun	Oiartzun
Mikeo	Mikeo
Irasuegui	Irasuegui
Pazos	Pazos
Riveiro	Riveiro
Maritxalar	Maritxalar
Garai	Garai
Arruabarrena	Arruabarrena
Guzman	Guzman
Aranaga	Aranaga
Olasagasti	Olasagasti
Aranegi	Aranegi
Lete	Lete
Revolvo	Revolvo
Souto	Souto
Cotado	Cotado
Anglada	Anglada
Brizuela	Brizuela
Hijazo	Hijazo
Urien	Urien
Oribe	Oribe
Bravo	Bravo
Torrado	Torrado
Silva	Silva
Sanz	Sanz
LópezdeGuereñu	LópezdeGuereñu
Tenorio	Tenorio
Legarreta	Legarreta
Illarramendi	Illarramendi
Lasa	Lasa
Hoyo	Hoyo
RowingClub	ArraunElkartea
RowingClubofZumaia	ZumaiakoArraunElkartea
Plentzia	Plentziako
Plentzia	Plentzia
portofpasaia	pasaiakoportuko
boatraceofgetxo	getxokoestropaden
ikurrinaoftheportofpasaia	pasaiakoportukoikurriña
XuntadeGalicia	XuntadeGalicia
Zumaia	Zumaiako
Naturhouse	Naturhouse
NaturhouseCastro	NaturhouseCastro
Astillero	Astillero
fishermensassociation	kofradiaren
Relax	Relax
Hondarribikoestropadak	Hondarribikoestropadak
Zarauzkoestropadak	Zarauzkoestropadak
estropadak	estropadak
antidopingreport	memoriaantidopaje
antidoping	antidopaje
antidoping	antidoping
antidoping	antidóping
antidopingbody	órganoantidopaje
antidopingcontrol	controlantidopaje
antidopingcommittee	comitéantidopaje
WorldAntiDopingAgency	AgenciaMundialAntidopaje
NationalAntiDopingAgency	AgenciaEstatalAntidopaje
antidopingplan	planantidopaje
antidopingagency	agenciaantidopaje
antidopingmatter	materiaantidopaje
antidopingregulation	normativaantidopaje
antidopingregulation	reglamentoantidopaje
Riveira	Riveira
broadcast	retransmitir
ascribe	adscribir
warn	prevenir
attend	acudir
decision	laudo
Boiro	Boiro
Altuna	Altuna
flagofriveiracity	bandeiracidaderiveira
flagofriveiracity	bandeiracidadederiveira
Eibar	Eibar
timetrial	contrarreloj
timetrial	pruebacontrarreloj
scored	puntuable
tending	tendente
ETB	ETB
TVG	TVG
place	encuadrar
Cudeyo	Cudeyo
consolidation	consolidación
Vigo	Vigo
playoff	playoff
playoff	playoff
playoff	playoff
playoff	playoff
Uria	Uria
SPIUK	SPIUK
Servicristal	Servicristal
BaturaMobileSolutions	BaturaMobileSolutions
MecosMondariz	MecosMondariz
Urcabal	Urcabal
BermeoHiriko	BermeoHiriko
EuskoTrenbideak	EuskoTrenbideak
EuskoTrenbidea	EuskoTrenbidea
EuskoLabel	EuskoLabel
EuskoTren	EuskoTren
IberiaAshland	IberiaAshland
Koxtape	Koxtape
Kaiku	Kaiku
Santander	Santander
Portugalete	Portugalete
Gipuzkoa	Gipuzkoa
OGrove	OGrove
Ogrove	Ogrove
Getxo	Getxo
Flaviobrigaflag	BanderaFlaviobriga
Euskotren	Euskotren
Ecolmare	Ecolmare
Aquarium	Aquarium
GrupoBarbanza	GrupoBarbanza
backwaterturn	ciaboga
policy	póliza
seethejoke	verlagracia
losethejoke	irlagracia
insurancepolicy	pólizadeseguro
insurancepolicy	pólizadeseguros
renunciation	renuncia
Barbanza	Barbanza
BayofBiscay	Cantábrico
Biscay	Bizkaia
Pereira	Pereira
Joxemi	Joxemi
Joserra	Joserra
Antton	Antton
Igon	Igon
Karlos	Karlos
Xoxe	Xoxe
lieutenant	teniente
deputymayor	tenientealcalde
deputymayor	tenientedealcalde
adversereport	informeadverse
number	n
portauthority	autoridadportuaria
disciplinaryinfringement	infraccióndisciplinaria
proceduralinfringement	infracciónprocesal
minorinfringement	infracciónleve
suitableevent	eventoidóneo
suitableevent	acontecimientoidóneo
finalise	finalizar
row	bogar
renounce	renunciar
referees	arbitral
refereesdecision	laudoarbitral
refereesbody	órganoarbitral
refereescontrol	controlarbitral
approach	acercamiento
development	desenvolvimiento
distance	trayecto
casting	vaciado
feat	hazaña
return	torna
Ashland	Ashland
SuperBM	SuperBM
GPS	GPS
Algorri	Algorri
EuskotrenLeague	EuskotrenLiga
Localia	Localia
Zurich	Zurich
Kursaal	Kursaal
SegurosZurich	SegurosZurich
UrKirolak	UrKirolak
guggenheimbilbaomuseum	museoguggenheimbilbao
euskaldunaconferencecentreandconcerthall	palacioeuskalduna
fnac	fnac
ErrikoKirolak	ErrikoKirolak
Xunqueiriña	Xunqueiriña
DiarioMontañés	DiarioMontañés
Pontevedran	pontevedrés
listofwinners	palmarés
listofwinners	palmarés
listofwinners	palmarés
Noja	Noja
Lepanto	Lepanto
Algorta	Algorta
SanSebastián	SanSebastián
Aiestaran	Aiestaran
Zabala	Zabala
Navalón	Navalón
Marcano	Marcano
Korta	Korta
Legarretaetxeberría	Legarretaetxeberría
Oñate	Oñate
Prat	Prat
BasqueCountry	EuskalHerria
televisionoftheBasqueCountry	EuskalTelebista
Donostia	Donostia
Getaria	Getaria
Guarnizo	Guarnizo
Saragossa	Zaragoza
Barakaldo	Barakaldo
Nervión	Nervión
Meira	Meira
Brazomar	Brazomar
SantaEugeniadeRiveira	SantaEugeniadeRiveira
DonostiaSanSebastián	DonostiaSanSebastián
PasaiDonibane	PasaiDonibane
well	puesbien
then	pues
Muguruza	Muguruza
Mugartegi	Mugartegi
Lertxundi	Lertxundi
Prieto	Prieto
Hidalgo	Hidalgo
Solla	Solla
Usabiaga	Usabiaga
Millán	Millán
Colomer	Colomer
Comajuan	Comajuan
Lasartean	lasartearra
unalterable	inalterable
forge	forjar
manage	desenvolver
bind	trincar
have	ostentar
turnaway	darlaespalda
turnaway	espaldiar
fan	aficionado_fanD
ending	finalización
setting	encuadre
vicechancellor	vicerrector
vicechancellor	vicerrector
coastalvillage	villacostera
jersey	maillot
jersey	mallote
endowment	dotación
preparation	confección
Cantabrian	cántabro
Biscayan	bizkaino
Gipuzkoan	gipuzkoano
substantial	jugoso
exultant_pletórico	pletórico
leading	puntero
haematological	hematológico
alotof	muchísimo
alot	muchísimo
assemblys	asambleario
start	arrancar
alternating	alterno
esteemed	preciado
doping	dopante
ailment	dolencia
daybefore	víspera
inducement	aliciente
leadership	protagonismo
taste	degustar
establish	instaurar
program	programar
reflect	plasmar
council	consejería
buoy	boya
portside	babor
memorial	memorial
bow	proel
detriment	detrimento
oar	remo
olympicgame_olimpiadaD	olimpiada_olympicgameD
setting	montaje
youngster	chaval
pistolshot	pistoletazo
inlet	ensenada
parish	parroquia
caution_amonestaciónD	amonestación
legislativereference	remisiónnormativa
Riveiran	riveirense
Plentzian	plentziarra
Castroan	castreño
substitutive	sustitutivo
coastal	costero
purple	morado
vibrant	vibrante
presidentoftheBasqueCountry	lehendakari
startingsignal	pistoletazodesalida
remount	remontarelvuelo
preparation	elaboración
admission	admisión
professionalism	profesionalidad
buoy	baliza
applicant	aspirante
aspiring	aspirante
multipurpose	multiuso
amateur	amateur
damage	perjuicio
rowingclub	clubderemo
series	racha
alms	limosna
alms	limosna
fans	afición
fans	afición
Cantabriancoast	cornisacantábrica
AtlanticCantabriancoast	cornisacántabroatlántica
forcefulness	contundencia
ratification	ratificación
christmaseve	vísperadeNavidad
atthesametime	almismotiempo
rise_ascender	ascender_riseD
climb	subir
entirely	íntegramente
informative	divulgativo
comefrom	provenir
boost	fomentar
position	posicionar
standard	standard
standard	standard
Kerejeta	Kerejeta
Abando	Abando
Reizabal	Reizabal
MiguelBuen	MiguelBuen
Zabalondo	Zabalondo
Arellana	Arellana
Rua	Rua
Poza	Poza
Egurrola	Egurrola
Pombo	Pombo
make	confeccionar
award	adjudicar
Juaristi	Juaristi
Ayestaran	Ayestaran
Goienetxea	Goienetxea
Ayestarán	Ayestarán
Pena	Pena
Moreira	Moreira
Arrupe	Arrupe
Anduela	Anduela
Lujanbio	Lujanbio
Espel	Espel
Agirrezabalaga	Agirrezabalaga
Goikoetxea	Goikoetxea
SainzdelaMaza	SainzdelaMaza
Maza	Maza
Arias	Arias
Aranburu	Aranburu
Unanue	Unanue
Sotelo	Sotelo
happy	feliz
happy	feliz
wintry	invernal
rowingclubofHondarribia	HondarribiakoArraunElkartea
infringement	infracción
Indaux	Indaux
FederationofCantabria	FederaciónCántabra
CrownCajaMadrid	CoronaCajaMadrid
AbraRealSportingClub	AbraRealSportingClub
OndartzaSociety	SociedadOndartza
AitenEtxe	AitenEtxe
CAIXANOVA	CAIXANOVA
WADA	WADA
ElCorteInglés	ElCorteInglés
Fishermensmuseum	MuseodelPescador
Trintxerpeko	Trintxerpeko
Chileroom	SalaChile
InmobiliariaOrio	InmobiliariaOrio
AOL	AOL
DMOZ	DMOZ
LOTURA	LOTURA
OpenDirectory	OpenDirectory
BBK	BBK
Brazomarinlet	EnsenadadeBrazomar
recognise	homologar_recognizeD
Gipuzkoan	guipuzcoano
Gipuzkoan	guipuzcoano
Gipuzkoan	guipuzcoano
penalizing	sancionador
Garaizar	Garaizar
Bretos	Bretos
Galiciansportsfoundation	FundaciónDeporteGalego
federative	federativo
federative	federativo
federative	federativo
expo	expo
Etxebarria	Etxebarria
Etxaniz	Etxaniz
Esnal	Esnal
EPO	EPO
moving	emotivo
moving	emotivo
moving	emotivo
jetty	embarcadero
section	apartado
Elduayen	Elduayen
allocate	destinar
manage	gestionar
increase	incrementar
improve	potenciar
hallucinate	alucinar
stupify	estupefactar
flabbergast	estupefactar
twin	hermanar
reside	residir
group	agrupar
disembark	desembarcar
dedication	dedicación
preseason	pretemporada
estuary	ría
accreditation	acreditación
caringprofession	profesióndededicaciónhumanitaria
fulltime	dedicaciónexclusiva
fulltime	dedicaciónplena
Ereaga	Ereaga
RíasAltas	RíasAltas
RíasBajas	RíasBajas
ACoruña	ACoruña
Adeje	Adeje
Newark	Newark
NewJersey	NewJersey
CabodaCruz	CabodaCruz
SanMiguelLeague	LigaSanMiguel
SanMiguelBeers	CervezasSanMiguel
Fandicosta	Fandicosta
SanMiguel	SanMiguel
CajaMadrid	CajaMadrid
castrated	castrado
SanJuan	SanJuan
SanPedro	SanPedro
Orsa	Orsa
Ambilamp	Ambilamp
Amenabar	Amenabar
Arantzazu	Arantzazu
ZarautzInmobOrio	ZarautzInmobOrio
bestskipper	mejorpatrón
Reta	Reta
Endesa	Endesa
Euskolabel	Euskolabel
DayofRuralSports	ErrikoKirolakEguna
berriainfo	berriainfo
diariovascocom	diariovascocom
eitbcom	eitbcom
elcorreocom	elcorreocom
elpaiscom	elpaiscom
kulturkliknet	kulturkliknet
PasajesSanJuan	PasajesSanJuan
PasajesSanPedro	PasajesSanPedro
mensteam	selecciónmasculina
womensteam	selecciónfemenina
advancedsearch	búsquedaavanzada
visualart	artevisual
privacypolicy	políticadeprivacidad
trainerasleague	ligadetraineras
scoredtie	empateapuntos
EPOrh	EPOrh
collectively	colectivamente
successfully	exitosamente
justaroundthecorner	alavueltadelaesquina
accessorily	accesoriamente
pressrelease	notadeprensa
seabream	besugo
instructionforuse	condicióndeuso
sitemap	mapadelsitio
subscribe	suscribir
PublicreadingnetoftheBasqueCountry	ReddeLecturaPúblicadeEuskadi
DoctorDeseo	DoctorDeseo
Euskaltel	Euskaltel
ICU	UVI
PDA	PDA
FMI	FMI
GBC	GBC
PSM	PSM
PSP	PSP
Seat	Seat
Anfac	Anfac
Ganvam	Ganvam
PlanE	PlanE
Udalbiltza	Udalbiltza
PSE	PSE
Cajasur	Cajasur
Astelena	Astelena
Solis	Solis
TourdeFrance	TourdeFrancia
ertzaintza	ertzaintza
HeinekenJazzaldia	HeinekenJazzaldia
ElDiarioVasco	ElDiarioVasco
TheSun	TheSun
Kilometroak	Kilometroak
ACB	ACB
N	N
ACBleague	ligaACB
LagunAro	LagunAro
HighCourtofJusticeoftheBasqueCountry	TSJPV
HighCourtofJusticeoftheBasqueCountry	TribunalSuperiordeJusticiadelPaísVasco
Villareal	Villareal
Aralar	Aralar
SUMMA	SUMMA
DiarioVasco	DiarioVasco
Jazzaldia	Jazzaldia
Kubo	Kubo
AlhóndigaBilbao	AlhóndigaBilbao
Alhóndiga	Alhóndiga
Tecnalia	Tecnalia
RealSociedad	RealSociedad
AikoTaldea	AikoTaldea
Tour	Tour
Generalitat	Generalitat
GovernmentofCatalonia	GeneralitatdeCatalunya
BasqueGovernment	EuskoJaurlaritza
BasqueGovernment	GobiernoVasco
Aiko	Aiko
Herria	Herria
Urraska	Urraska
Mendiguren	Mendiguren
Zubeldia	Zubeldia
Junkera	Junkera
Ibargutxi	Ibargutxi
Becerril	Becerril
LópezdelBurro	LópezdelBurro
Garmendia	Garmendia
Pataky	Pataky
Salgado	Salgado
Verdasco	Verdasco
Nadal	Nadal
Soderling	Soderling
Djokovic	Djokovic
Federer	Federer
Munilla	Munilla
Izquierdo	Izquierdo
Basagoiti	Basagoiti
Mendiola	Mendiola
Llorente	Llorente
Neira	Neira
Corbacho	Corbacho
Moreno	Moreno
Manning	Manning
Ahmadinejad	Ahmadineyad
Rodriguez	Rodriguez
Barrichello	Barrichello
Mourinho	Mourinho
OierFano	OierFano
Amiri	Amiri
Bardem	Bardem
Pitt	Pitt
Ares	Ares
Toquinho	Toquinho
TxominPerurena	TxominPerurena
PattiSmith	PattiSmith
Urraburu	Urraburu
Rossi	Rossi
Cavendish	Cavendish
Renshaw	Renshaw
Contador	Contador
Ormazabal	Ormazabal
Labein	Labein
PacoSutil	PacoSutil
Montilla	Montilla
Laboa	Laboa
Arruabarrena	Arruabarrena
media	mediodedifusión
media	mediodedifusión
massmedia	mediodecomunicacióndemasas
massmedia	mediodecomunicacióndemasas
massmedia	mediodecomunicacióndemasas
newsmedia	medioinformativo
newsmedia	medioinformativo
newsmedia	medioinformativo
Jalón	Jalón
Zumárraga	Zumárraga
Ategorrieta	Ategorrieta
Valdebebas	Valdebebas
CtedAzur	CostaAzul
CostaBlanca	CostaBlanca
CostaBrava	CostaBrava
CostadelSol	CostadelSol
GoldCoast	CostadeOro
Sachsenring	Sachsenring
lava	lava
Ordizia	Ordizia
Ollerías	Ollerías
Ondarreta	Ondarreta
Lasarte	Lasarte
Fanlo	Fanlo
Vizcaya	Vizcaya
medialibrary	mediateca
webcam	webcam
videoclub	videoclub
publicityboard	cartelera_publicityboard
basqueobservatoryofculture	observatoriovascodecultura
entertainmentguide	carteleradeespectáculos
bulletinboard	tablóndeanuncios
craftsmanship	artesanía
trikitixa	trikitixa
shortfilm	cortometraje
featurefilm	largometraje
performingarts	artesescénicas
musicalarts	artesmusicales
contest	certamen
ministryofculture	ministeriodecultura
saltpetre	salitre
bathedby	bañadopor
improvement	perfeccionamiento
artscentre	centrodearte
bestpractices	buenapráctica
bestpractices	buenapráctica
downwardtrend	tendenciaalabaja
upwardtrend	tendenciaalalza
upwardtrend	tendenciaalcista
upwardtrend	caminoalcista
downwardtrend	tendenciabajista
dominanttrend	tendenciaimperante
prevailingtendency	tendenciaimperante
markettrend	tendenciadelmercado
pleadfor	abogarpor
plead	abogar
patentrights	propiedadindustrial
patentrights	propiedadindustrial
copyright	propiedadintelectual
copyright	propiedadliteraria
intellectualpropertyright	derechodepropiedadintelectual
bertsolaritza	bertsolarismo
departmentforculture	departamentodecultura
audiovisualprojection	proyecciónaudiovisual
démodé	demodé
jointproduction	coproducción
seethepoint	cogerlagracia
seethepoint	pescarlagracia
begraceful	hacergracia
befunny	tenergracia
beveryfunny	tenermuchagracia
movegracefully	movercongracia
ungraceful	singracia
playaprankon	hacerunagraciaa
laughalongwith	reírlagracia
beinastateofgrace	estarengracia
beinastateofgrace	estarengraciadeDios
bythegraceofGod	porlagraciadeDios
pardon	medidadegracia
warmto	caerengracia
acclimatise	aclimatarse
inshorefishing	pescadebajura
wholesalary	sueldoíntegro
fullsentence	penaíntegra
unabridgedversion	versióníntegra
unabridgedtext	textoíntegro
unabridgedspeech	discursoíntegro
unabridgedsummary	sumarioíntegro
whole	íntegro
upright	íntegro
statute	estatut
statuteofautonomy	estatutodeautonomía
statuteofautonomyofCatalonia	estatutodeautonomíadeCataluña
heartfailure	fallocardíaco
designfault	fallodediseño
humanerror	fallohumano
verdictofnonguilty	falloabsolutorio
verdictofguilty	fallocondenatorio
jurysdecision	fallodeljurado
courtsdecision	fallodeltribunal
contestsdecision	fallodelconcurso
bulgingeye	ojodebesugo
nonsensicaldiscussion	diálogodebesugos
premier	premier
signing	fichaje
fissure	fisura
cleftpalate	fisuradelpaladar
cleftpalate	fisurapalatina
solid	sinfisuras
corporation	corporación
Biscayan	vizcaíno
veto	veto
veto	ponerelvetoa
veto	vetar
haveaveto	tenerveto
springtide	mareaviva
hightide	mareaalta
highwater	mareaalta
lowtide	mareabaja
lowwater	mareaalta
risingtide	mareacreciente
ebbtide	mareamenguante
neaptide	mareamuerta
oilslick	mareanegra
tideofrevolt	mareadelarevelión
floodofpeople	mareahumana
baleout	achicar
getsmaller	achicarse
dodgetheissue	echarbalonesfuera
boxingball	balóndeboxeo
punchball	balóndeboxeo
beachball	balóndeplaya
regulationball	balóndereglamento
looseball	balónsuelto
oxygencylinder	balóndeoxígeno
swell	marejada
heavysea	marejada
swell	oleaje
lessen	menoscabar
damage	menoscabo
bedamaged	sufrirmenoscabo
sandyarea	arenal
leadership	liderato
leadership	jefatura
peaceinitiative	iniciativadepaz
onhisinitiative	bajosuiniciativa
owninitiative	iniciativapropia
lackinitiative	carecerdeiniciativa
taketheinitiative	tomarlainiciativa
privateenterprise	iniciativaprivada
unobjectionable	inobjetable
partyleadership	jefaturadelpartido
policeheadquarters	jefaturadepolicía
policeheadquarters	jefaturadepolicía
urgetobeinthelimelight	afándeprotagonismo
grantpower	concederelprotagonismo
makebigshowing	tenermuchoprotagonismo
makelittleshowing	tenerpocoprotagonismo
haveprominence	tenerprotagonismo
obtainprominence	ganarprotagonismo
giveprominence	darprotagonismo
takeoffprominence	quitarprotagonismo
majorprominence	granprotagonismo
wihoutmakingafuss	singrandesprotagonismos
littleprominence	pocoprotagonismo
launch	lanzador
launcher	lanzador
launcher	lanzador_launcher
thrower	lanzador
thrower	lanzador_throwerD
knifethrower	lanzadordecuchillos
knifethrower	lanzadordecuchillos
javelinthrower	lanzadordejabalina
javelinthrower	lanzadordejabalina
hammerthrower	lanzadordemartillo
hammerthrower	lanzadordemartillo
shotputter	lanzadordepeso
shotputter	lanzadordepeso
headbutt_cabezazoD	cabezazo
disqualify	descalificar
discredit	desacreditar
stagewin	victoriadeetapa
racestart	iniciodecarrera
racestart	comienzodecarrera
sweep	porra
telltogotohell	mandaralaporra
takeaction	volveralaacción
takeaction	pasaralaacción
betimeto	serhorade
programmeofaction	programadeacción
inaction	enacción
ontherunway	enlapasarela
puttheplaninaction	ponerelplanenacción
gointoaction	ponerseenacción
manofaction	hombredeacción
womanofaction	mujerdeacción
personofaction	personadeacción
actionfilm	películadeacción
actionmovie	películadeacción
directaction	accióndirecta
reprehensibleact	accióncondenable
gooddeed	buenaacción
evildeed	malaacción
suitthedeedtotheword	unirlaacciónalapalabra
thanksgiving	accióndegracias
thanksgiving	accióndegracias
thanksgivingday	díadeaccióndegracias
fastacting	acciónrápida
relaxingeffect	acciónrelajante
delayedaction	acciónretardada
militaryaction	acciónmilitar
guerrillasaction	accióndelaguerrilla
nervoussystem	sistemanervioso
killedinaction	muertoenacción
rapidactionforce	fuerzadeacciónrápida
rapidactionforce	brigadadeacciónrápida
militaryoperation	accióndeguerra
legalaction	acciónjudicial
legalaction	acciónlegal
lawsuit	pleito
criminalaction	acciónpenal
peoplesaction	acciónpopular
sharecapital	capitalenacciones
sharecapital	capitalenacciones
shareissue	emisióndeacciones
stockissue	emisióndeacciones
listedshare	accióncotizadaenbolsa
quotedshare	accióncotizadaenbolsa
goldenshare	accióndeoro
fullypaidshare	acciónliberada
ordinaryshare	acciónordinaria
commonstock	acciónprimitiva
preferenceshare	acciónpreferente
preferredstock	acciónpreferente
priorityshare	acciónprioritaria
nonvotingshare	acciónsinvoto
beexpecting	estaralaespera
lookforwardto	quedaralaesperade
lookforwardtohearingfromyou	quedaralaesperadesurespuesta
wait	espera
costsreport	informedecostas
Mediterraneancoast	costamediterránea
Pacificcoast	costadelPacífico
Atlanticcoast	costadelAtlántico
laughtotheexpenseof	reíracostade
atallcosts	acostadelosea
atallcosts	atodacosta
spendholidaysonthecoast	pasarlasvacacionesenlacosta
haveanaccident	accidentarse
rugged	accidentado
offshore	costaafuera
bestillshowing	seguirencartelera
runfor	estarencartelera
maintainafamily	mantenerunafamilia
holdaconversation	mantenerunaconversación
havesexualrelations	mantenerrelacionessexuales
correspondwith	mantenercorrespondenciacon
maintaintheopposite	mantenerlocontrario
keephot	mantenercaliente
keepbalanced	mantenerenequilibrio
keepasecret	mantenerensecreto
keepthepeace	mantenerelordenpúblico
keepadistance	mantenerladistancia
keepthepeace	mantenerlapaz
keepinshape	mantenerlalínea
maintainabalance	mantenerelequilibrio
keepasafedistance	mantenerladistanciadeseguridad
keepthefiregoing	mantenerelfuego
runfor	mantenerseencartelera
remaininforce	mantenerseenvigor
liveon	mantenerseabasede
remaininexistence	mantenerseenvigor
keepfit	mantenerseenforma
keepuptodate	mantenersealdía
keepintouch	mantenerseencontacto
besupportedby	mantenersecon
standup	mantenerseenpie
remainawake	mantenersedespierto
remainstable	mantenerseestable
beinperfectcondition	mantenerseenperfectascondiciones
keeptotheright	mantenersealaderecha
keeptotheleft	mantenersealaizquierda
storeinacooldryplace	mantenerseenunlugarfrescoyseco
keepoutofthereachofchildren	mantenersefueradelalcancedelosniños
photoreport	fotodenuncia
neglect	descuidar
pedestrianization	peatonalización
pointofsale	puntodeventa
dottedline	líneadepuntos
light	puntodeluz
blackhead	puntonegro
dottheisandcrossthets	ponerlospuntossobrelasíes
fullstop	puntoacápite
suspensionpoint	puntosuspensivo
fullstop	puntoyaparte
semicolon	puntoycoma
fullstop	puntoyseguido
pointfor	puntoafavor
pointagainst	puntoencontra
belevelonpoints	estarempatadosapuntos
winonpoints	ganarporpuntos
winonpoints	vencerporpuntos
beexceptional	serpuntoyaparte
loseby	perderpor
besupported	mantenerse
elaborateon	extendersesobre
extend	extenderse
ruraltourism	agroturismo
ruraltourism	agroturismo
marrow	meollo
heart	meollo
heartofthematter	meollodelacuestión
cruxofthematter	quiddelacuestión
cruxoftheproblem	quiddelacuestión
crux	quid
squeeze	estrujar
rack	atormentar
gotorackandruin	echarseaperder
berackedwithpain	sufrirdolor
berackedwithguilt	sufrirdolor
gotorackandruin	venirseabajo
agenda	ordendeldía
agenda	ordendeldía
itemontheagenda	puntoenelordendeldía
answerpointbypoint	contestarpuntoporpunto
crucialpoint	puntocapital
mattertobediscussed	puntoatratar
termofreference	puntodeconsulta
knitwear	prendadepunto
knitedskirt	faldadepunto
cardigan	chaquetadepunto
knit	hacerpunto
crossstitch	puntodecruz
stitch	puntodesutura
cardinalpoint	puntocardinal
blindspot	puntociego
keypoint	puntoclave
criticalpoint	puntocrítico
highpoint	puntoculminante
checkpoint	puntodeasistencia
weakpoint	puntodébil
heatsource	puntodecalor
freezingpoint	puntodecongelación
pointofcontact	puntodecontacto
checkpoint	puntodecontrol
boilingpoint	puntodeebullición
meetingpoint	puntodeencuentro
breakevenpoint	puntodeequilibrio
vanishingpoint	puntodefuga
meltingpoint	puntodefusión
flashpoint	puntodeinflamación
informationcentre	puntodeinformación
sight	puntodemira
comeunderscrutiny	estarenelpuntodemira
turningpoint	puntodeinflexión
pointofnoreturn	puntodenoretorno
startingpoint	puntodepartida
penaltyspot	puntodepenalti
pointofreference	puntodereferencia
taxistand	puntodetaxis
cabrank	puntodetaxis
weakspot	puntoflaco
deadcentre	puntomuerto_deadcentre
bedeadlocked	estarenunpuntomuerto
deadlock	puntomuerto_deadlockD
keypoint	puntoneurálgico
deadcentre	puntoneutro
beready	estarapunto
comejustattherightmoment	llegarapunto
arriverightontime	llegarenpunto
tune	ponerapunto
falloff	bajardepunto
fallaway	bajardepunto
caramelized	apuntodecaramelo
ingoodcondition	enbuenestado
onthedot	enpunto
beabouttodo	estarapuntodehacer
beabouttogo	estarapuntodesalir
beaboutto	estarapuntode
bejustright	estarensupunto
uptoapoint	hastaciertopunto
tosuchanextent	hastatalpunto
increase	subirdepunto
breakpoint	puntodeparada
onsale	alaventa
onsale	enventa
goonsale	saliralaventa
beonsale	estaralaventa
beupforsale	estarenventa
beonthemarket	estarenventa
available	deventa
putupforsale	poneralaventa
doortodoorselling	ventaadomicilio
cashsale	ventaalcontado
retail	ventaaldetalle
