manipulation	manipulació
boisterous	boig
quandary	dilema
staunchness	agitat
beg	pregueu
inadequacy	insuficiència
affection	afecte
pampered	consentit
traitorously	traïdorament
foolish	neci
eventful	atroç
insidious	insidiosa
subsidizes	subvenciona
marginally	marginalment
aggression	agressió
hating	odiar
workable	factible
clouding	ennuvolat
inexplainable	inexplicable
reward	recompensa
corruption	corrupció
admiringly	admirablemente
favorite	favorit
enrichment	enriquiment
bizarre	estrany
rape	violació
unbelievably	increïblement
incorrigible	incorregible
meaningful	significatiu
accursed	maldestre
humane	humà
fearsome	temible
friendly	amable
unsustainable	insostenible
scolding	rega
ambiguity	ambigüitat
madness	bogeria
bribery	suborn
gloriously	gloriósament
scolded	regañat
weird	estrany
overzealously	excessivament
indecision	indecisió
degrading	degradant
longingly	ansiós
desertion	desertió
luxurious	luxós
considerate	considerat
criticize	criticar
leech	sangui
downcast	baixada
corruptted	corrupte
gleefully	alegrement
crafty	astut
impulsive	impulsiu
puzzlement	desconcertant
unjustifiable	injustificable
marvelled	meravellat
farfetched	despullat
opportunistic	oportunista
sue	demandar
unusable	inutilitzable
undamaged	intacte
insecure	insegur
wounds	ferides
impolitely	impolíticament
cynical	cínic
eager	ansiós
reforms	reformes
succeeding	triomfant
stinging	picada
acerbically	acerbicalment
revolutionizes	revoluciona
bleak	desolador
attentive	atent
hypocrites	hipòcrites
shock	xoc
crueler	cruel
misapprehend	malapprehend
abuses	abusos
unnatural	antinatural
horrify	horroritzar
capsize	capgirar
ebullient	exuberant
bent	inclinat
magnanimous	magnànim
lunatic	lunàtic
imprisonment	empresonament
empowerment	empoderament
endorse	avalen
smash	aixafar
choke	sufocar
cruelness	crueltat
spoiled	mimat
smile	somriure
ill-treated	maltractat
annoying	molest
erudite	erudit
exonerate	exonerar
winning	guanyador
warp	ur
laughable	risible
outlaw	prohibit
suffocate	asfixiarse
absurdity	absurd
influential	influent
impose	imposar
subjugation	submissió
wasteful	inútil
darling	estimat
envious	enveja
obscurity	obscuritat
shabby	lamentable
plebeian	plebeu
favour	favor
rebuke	reprensió
ambiguous	ambigu
omit	ometre
overstated	exagerat
creeps	arrels
enervate	enervar
deficiencies	deficiències
ailment	malaltia
sagged	enutjat
corrupted	corromput
skillfully	hàbilment
phenomenal	fenomenal
inaccurately	inexacta
destroyer	destructor
debilitate	debilitar
overrun	rebutjat
exceeded	superat
distorts	distorsiona
discrimination	discriminació
stability	estabilitat
excellence	excel·lència
poised	preparat
inferiority	inferioritat
illogically	il·lògicament
over-balanced	sobre-equilibrat
infected	infectats
combative	combativa
denounce	denunciar
evasion	evasió
inestimably	inestimable
love	amor
kindliness	bondat
controversial	controvertit
nauseate	nauseat
ineffective	ineficaç
fugitive	fugitiu
careless	descurat
vociferously	vociferant
insinuating	insinuant
lionhearted	lleonat
fortune	fortuna
enthrall	fascinant
inflated	inflat
overwhelms	aclapara
antagonistic	antagonista
lacks	manca
toil	treball
strange	estrany
fantastically	fantàsticament
suitable	adequat
divisiveness	divisivitat
regressive	regressiu
emaciated	emaciat
chaotic	caòtic
congratulate	felicito
threat	amenaça
charisma	carisma
deprived	privat
rejecting	rebutjant
euphorically	eufòricament
funnily	divertit
criticism	crítica
worthy	digne
respectful	respectuós
confused	confós
exaggerate	exagerar
advocates	advoca
struggling	lluitant
animosity	animositat
impartiality	imparcialitat
exagerated	exagerat
roomy	espaiós
beckoned	trucat
freeze	congelar
conspiratorial	conspiradora
delirium	deliri
shockingly	sorprenentment
womanizer	mujeriego
scrambled	revolts
farcically	fòricament
futility	inutilitat
cripples	parapents
direness	eressa
rampant	desenfrenat
nebulously	nebulós
stricken	afectat
passion	passió
subsidize	subvencionar
unusably	inusible
idiots	idiotes
solemn	solemne
imperfectly	imperfecta
prosper	prosperar
smart	intel·ligent
awesomely	increíblement
handsome	guapo
exhilarate	estimular
steep	empinat
dissent	dissidència
bereavement	dol
unfavorable	desfavorable
sparkle	espurna
misguided	equivocada
smells	olora
flaking	escamosa
inflammation	inflamació
altercation	altercació
instigators	instigadors
lengthy	llarg
brusque	brúsc
futuristic	futurista
improving	millorant
preoccupy	preocupació
fateful	fatídica
revolutionize	revolucionar
progressive	progressiu
defile	contaminar
revelation	revelació
jarring	nerviós
unilateralism	unilateralisme
uplifting	augmentant
peacefully	pacíficament
dispirited	despreciat
bastard	bastardo
superiority	superioritat
blundering	bloqueig
jittery	nerviós
refutation	refutació
zest	ronc
neurotically	neuroticament
exquisite	exquisit
flicker	parpelleig
overtaken	superat
crumble	desmoronar
unacceptable	inacceptable
courage	valentia
undependability	indedependència
lies	mentides
friendliness	amabilitat
shortage	escassetat
alarmed	alarmat
worried	preocupat
fuck	follar
ideally	idealment
amazed	sorprès
dissuasive	dissuasiu
illegally	il·legalment
irritation	irritació
steadfastness	fermesa
angrily	enfadat
thrive	prosperar
dead-on	mort-on
dissappointed	decepcionat
scorchingly	escumejant
hell	infern
shrug	ombrejat
tacky	enganxós
polished	polit
shortcomings	deficiències
grimace	ganyota
merciful	misericordiós
pardon	perdó
improves	millora
beneficent	beneficiós
breakups	ruptures
squeal	chill
exceedingly	exageradament
fiery	ardent
recovery	recuperació
nebulous	nebulós
amply	Àmpliament
dominated	dominat
succeeds	Èxit
plentiful	abundant
ineffectualness	ineficàcia
polluters	contaminants
flourish	florir
sting	picada
admonishment	amonestació
fascination	fascinació
sane	saludable
distracting	distreure
deservedly	merescudament
astonishingly	sorprenentment
inadvisable	desaconsellable
disloyalty	deslleialtat
impresses	impressiona
solidarity	solidaritat
zenith	cenit
thoughtfully	pensatiu
blurred	borrosa
disapointing	decepció
fleeting	fugaç
subsidized	subvencionat
fanatical	fanàtic
unsafe	insegur
insatiable	insaciable
sham	farsa
raptureous	còmic
isolated	aïllat
hoax	engany
losing	perdent
melancholy	malenconia
lawfully	legalment
angelic	angelical
jealousness	gelosia
insultingly	insultant
majestic	majestuós
upscale	exclusiu
perfunctory	perfunctoral
brash	boig
disagree	discrepar
enhance	millorar
unbelievable	increïble
romantic	romàntic
light-hearted	alegre
fatigue	fatiga
intimidating	intimidant
self-determination	autodeterminació
ineptly	ineptamente
sensational	sensacional
backwardness	endarreriment
fluster	gastador
manipulate	manipular
expired	vençut
motionless	immòbil
antithetical	antitètic
outstandingly	excepcionalment
refuted	rebutjat
bemoaning	lamentant
calumniously	calumniosamente
faithfulness	fidelitat
rumbling	rumorant
whore	puta
harmony	harmonia
snagging	enganxament
falsehood	falsedat
subtract	sostreure
mockery	burla
delayed	retardat
impudently	impudent
worn	desgastat
mortified	mortificat
gripe	malaltia
racism	racisme
demonizes	demoniza
objectionable	objetable
dexterous	destorós
gainful	guanyat
heresy	herejía
mournful	lamentable
hedge	coberta
unnervingly	incansablement
disillusions	desilusions
overdo	exagerar
mortifying	mortificant
disgusted	disgustat
anemic	anémico
undocumented	indocumentat
relentlessness	incansable
inhospitality	inhospitalitat
belittled	menystingut
torment	turment
hallowed	santificat
illiterate	analfabets
praiseworthy	lloable
blessing	benedicció
sweaty	suat
collude	enojo
breakthrough	avenç
prudence	prudència
spurn	espurnes
invincibility	invencibilitat
ambitious	ambiciós
blasphemous	blasfem
upgraded	actualitzat
dejection	dejecció
demolisher	demoledor
thwart	frustrar
amiable	amable
enjoyably	agradablement
inordinately	inordinadament
beneficial	beneficiós
inhumane	inhumà
infuriate	enfuriar
excellently	excel·lentment
perplexity	perplexitat
fearful	temorós
compulsion	compulsió
fawningly	adolorit
rascals	bessons
frightful	espantós
cold	fred
interfere	interferir
limits	límits
messy	desordenat
shine	brillar
ineligible	inelegible
superficially	superficialment
fatefully	afectuosament
fragmented	fragmentat
supreme	suprem
biting	mossegar
pervert	pervertit
illumine	il·luminar
eccentric	excèntric
rattle	trampa
laconic	lacónico
congested	congestionat
fraud	frau
impossiblity	impossibilitat
destitution	destitució
conservative	conservador
brazenly	descaradament
mercy	gràcies
shortsightedness	miopia
condemned	condemnat
dumbfounded	immòbil
exemplary	exemplar
spoon-feed	cullera
survival	supervivència
fucking	follant
bewilder	desconcertant
clogs	esclops
wins	guanya
self-criticism	autocrítica
decayed	decadent
dispirit	desmentit
spook	espectacle
festive	festiu
dismally	desmamós
denies	nega
insufficient	insuficient
outbreak	esclat
confidence	confiança
adversary	adversari
stabilize	estabilitzar
worrisome	preocupant
lovely	preciosa
spectacularly	espectacularment
falsify	falsificar
breeze	brisa
irritably	irritablement
vomiting	vòmits
offenses	delictes
admirably	admirablement
desolately	desolat
dogmatic	dogmàtic
condemnation	condemna
miscreant	incomprensible
deluge	diluvi
suicidal	suïcida
bore	avorrit
hypocrisy	hipocresia
ineptitude	ineptitud
dropouts	abandonaments
frenetic	frenètic
richness	riquesa
bother	molesteu
lunaticism	lunaticisme
tantalize	tantalitzar
meddle	entrometerse
extravagance	extravagància
naive	ingenu
unappealing	desagradable
gimmicks	trucs
jitters	nervis
dismayed	consternat
trample	trepitjar
unparalleled	inigualable
fancy	luxós
heroically	heroicament
awfully	terriblement
incommensurate	incommensurable
versatility	versatilitat
disappointments	decepcions
deference	deferència
monstrous	monstruós
gratify	gratificar
credulous	credulós
fastuous	fastuós
well-being	benestar
dictator	dictador
obstructs	obstaculitza
quack	chack
friction	fricció
fussy	llepafils
strong	fort
limp	boig
subservient	subordinat
deceptively	enganyosament
despairingly	desesperadament
depraved	depravat
monstrously	monstruós
bothering	molestant
indiscriminately	indiscriminadament
harasses	assetja
imaginary	imaginari
commendable	encomiable
darkened	enfosquit
gruff	horrible
illogic	il·lògic
scratchy	raspadat
procrastinate	retardar
bonuses	bonificacions
blistering	ampolla
maliciousness	malícia
liberty	llibertat
crap	merda
disown	rebutjar
heartfelt	sincera
downturn	desacceleració
elimination	eliminació
desirable	desitjable
tangle	enredar
laughably	ridícul
horde	horda
overture	obertura
evils	mals
intimidate	intimidar
suppress	suprimir
disappointment	decepció
famous	famós
fascism	fascisme
precariously	precariamente
saintliness	santedat
polemize	polemitzar
jeering	embruixat
delirious	delirant
astounded	sorprès
wound	ferida
mockeries	burla
cruelties	crueltat
recourses	recurs
bothers	molesta
bias	parcialitat
pleas	mots
advantageous	avantatjós
bewilderment	desconcert
destructive	destructiu
unleash	alliberar
unnaturally	desnatural
inelegance	inelegància
cooperatively	cooperativament
attractively	atractivament
suspect	sospitós
calumniation	calumnia
irrationality	irracionalitat
assuredly	segurament
unsettled	inestable
upsetting	molestant
frictions	friccions
vomit	vòmit
perplexing	perplex
deteriorating	deteriorant-se
detachable	desmuntable
agile	Àgil
tense	tens
confined	confinat
deceitfulness	engany
writhe	escriu
disorder	trastorn
famously	famós
blissfully	feliçment
enraged	enfurismat
intelligence	intel·ligència
decrepitude	decrepitud
remarkably	notablement
deign	dignitar
loathsomely	ofensivament
stun	atordiment
corrosive	corrosiu
smug	presumible
dauntless	indolent
abominably	abominablement
stumped	estonat
harassment	assetjament
critics	crítics
unseemly	indegudament
retreat	retir
exasperation	exasperació
hectic	frenètic
funny	divertida
endearing	entranyable
exhausts	escapes
stumps	tocs
protection	protecció
inconceivably	inconcebiblement
languish	languidece
ineffectiveness	ineficàcia
refusing	refusant
celebratory	celebració
distortion	distorsió
manageable	manejable
degenerately	degeneradament
peevishly	nerviosament
despondent	desanimat
amazingly	sorprenentment
trump	triomf
chaste	cast
shameful	vergonyós
fertile	fèrtil
admonition	admonició
seething	estiramiento
fondness	afecte
lurid	escabrosos
stimulates	estimula
shamelessness	desvergonyiment
unkindly	incansablement
losses	pèrdues
hypocritically	hipòcritament
asinine	asinina
appreciative	agraït
demonized	demonitzat
slow	lent
hazy	nebulós
screwy	atornillat
convenience	comoditat
unable	incapaç
overstate	exagerar
lazy	mandrós
fanatic	fanàtic
picky	exigent
mocked	burlat
demoralize	desmoralitzar
irreconcilable	irreconciliable
troublesomely	molestos
ecstatically	ecstàticament
hardy	resistent
greatness	grandesa
hypocritical	hipòcrita
energetic	enèrgic
regretted	lamentat
caustic	càustic
soreness	dolor
loot	botí
wretch	desgraciat
displeased	descontent
degrade	degradar
wobbles	llança
haggard	enganyat
mystify	mistificar
dextrous	dextro
heavyhearted	pesat
avidly	Àvidament
subpoena	citació
loving	estimant
disdained	menyspreat
upliftingly	augmentant
self-sufficient	autosuficient
sluggish	lenta
contemptuous	despectiu
detested	detestat
scams	estafes
intuitive	intuïtiu
patronize	patrocinar
deploring	deploració
ramshackle	embotellat
cloud	núvol
stereotypical	estereotípic
fallacious	fallida
discrepant	discrepants
bug	error
knife	ganivet
unconditional	incondicional
obsession	obsessió
lacked	faltava
incoherence	incoherència
implication	implicació
illusions	il·lusions
reforming	reformes
prefer	preferir
thrift	bestiar
treason	traïció
altruistic	altruista
incomprehension	incomprensió
devilry	diable
fallacy	fal·làcia
traumatically	traumàticament
groundbreaking	innovador
inefficacy	ineficàcia
alluringly	fascinant
euphoria	eufòria
involuntary	involuntari
displace	desplaçar
regress	tornada
goofy	torrat
deformed	deformat
frantically	frenèticament
poeticize	poetitzar
inadequate	inadequat
tamper	manipulador
disorient	desorient
hug	abraçada
liar	mentir
terribleness	terribleitat
plague	plaga
matte	mat
frenetically	frenèticament
joy	alegria
sack	sac
feeblely	feble
disparaging	despectiva
ingenuously	ingenuament
contend	contestar
autocratic	autocràtic
exaltingly	exaltant
unworthy	indigne
weakening	debilitament
enticing	atractiu
idealize	idealitzar
mischievously	maliciosament
collapse	col.lapse
trapped	atrapat
convoluted	complicat
flickers	parpelleja
dump	bolcat
contentious	controvertit
unexplained	inexplicable
drips	gotes
desiccated	dessecat
stainless	inoxidable
pride	orgull
sardonically	sardònicament
garbage	escombraries
disunity	desunió
dumb	mut
ulterior	posterior
repulsed	rebutjat
congenial	agradable
condemn	condemnar
illusion	il·lusió
clash	xoc
intelligible	intel·ligible
nuisance	molèstia
sweeten	endolceix
irredeemable	irredible
wearisome	cansat
incredulous	incrèdul
flake	escamas
dismay	consternació
wariness	cautela
hospitable	hospitalari
choleric	colérico
exasperated	exasperat
irately	irat
amenity	comoditat
brutalizing	brutalitzant
enlighten	il·luminar
punch	punxó
mind-blowing	molestia
deceitfully	enganyosa
pains	dolors
doubtfully	dubtós
clears	esborra
remorse	remordiment
fuss	escàndol
fanatically	fanàticament
worsening	empitjorament
retract	retractar
vicious	cruel
healthy	saludable
condemns	condemna
scarily	escassament
complicit	còmplice
muddy	fangós
bumping	cops
magnanimously	magnànimament
miserly	miserable
receptive	receptiu
rile	trastorn
misunderstanding	malentès
pariah	paria
restriction	restricció
plunder	saqueig
distressing	molestant
innovative	innovador
vice	vici
idiocy	idiotes
thoughtful	pensatiu
gossip	xafarderies
intrusive	intrusiu
oddities	estranyes
taboo	tabú
delighted	encantat
dense	dens
promises	promeses
frustrated	frustrat
fabulously	fabulós
shrill	estrident
revengeful	revenja
pry	picar
plaything	juguetear
fat	greix
selective	selectiu
appropriate	apropiat
dejected	expulsat
remorselessness	remorderança
undetermined	indeterminat
slander	calúmnia
satisfied	satisfet
appealing	atractiu
scant	escàs
traitor	traïdor
battered	maltractat
renewed	renovat
damper	amortidor
diplomatic	diplomàtic
tetchily	típiques
twist	gir
omission	omissió
sumptuously	sumptuosament
flawed	defectuós
uncompromising	intransigent
impiety	impietat
refute	refutar
strained	tensió
rotten	podrit
stark	crua
successes	Èxits
unimaginable	inimaginable
squealing	xafant
pepped	atrapat
rivalry	rivalitat
sporadic	esporàdic
horrid	horrible
interests	interessos
leak	fugida
infallibly	infaliblement
defamations	defamacions
proactive	proactiu
pleasingly	agradablement
attractive	atractiu
scarred	cicatritzat
demoralizing	desmoralitzant
rejoice	alegra't
expel	expulsar
iniquitous	inicuos
wealthy	rics
petrify	petrificar
inconveniently	inconvenientment
bloated	inflat
blameworthy	incomprensible
junk	escombraries
tempt	temptejar
hegemony	hegemonia
right	dret
disdainful	menyspreable
inflame	inflama
impatience	impaciència
stunningly	sorprenentment
unjust	injust
belittling	menyspreu
youthful	juvenil
subvert	subvertir
negatives	negatius
revitalize	revitalitzar
amity	amistat
apathetic	apàtic
allergy	al·lèrgia
eminence	eminència
dubiously	dubtós
dazed	atordit
generous	generós
impossibly	impossiblement
scratch	rascar
anti-israeli	anti-israelians
delightful	encantador
immense	immens
falling	caient
golden	daurat
vindictive	venjatiu
defeats	derrotes
startle	sorpresa
loophole	llacuna
tremendously	tremendament
greasy	greixós
dawn	alba
unaffordable	inaccessible
curses	malediccions
upliftment	elevació
erratically	erràticament
mighty	poderós
audaciousness	audàcia
totalitarian	totalitaris
thank	gràcies
courageously	valent
brilliantly	brillantament
prisoner	pres
skeptically	escèpticament
lucky	afortunat
absurdness	absurd
unfriendly	hostil
conspicuous	conspicu
chunky	picant
denying	negant
unreachable	inaccessible
realizable	realitzable
bearish	baixista
majesty	majestat
deter	dissuadir
tyrant	tirà
stern	popa
naughty	travieso
scandalously	escandalós
rot	podridura
expansive	expansiu
favorited	favorit
disproportionate	desproporcionat
anti-social	antisocial
clever	intel·ligent
hassle	molèsties
disgraced	desgraciat
misgivings	dubtes
scornfully	despreocupadament
downgrade	rebaixa
principled	principis
passionately	apassionadament
frustrating	frustrant
reprimand	reprimenda
unuseable	inutilitzable
grainy	granulat
break-ups	ruptures
sorrow	pena
tin-y	tin-i
unrelentingly	incansablement
shroud	morta
soapy	sabó
shimmering	brillantor
stab	apunyalar
marvellous	meravellós
cliche	clixé
authoritarian	autoritari
impudence	impudència
recession	recessió
offence	delicte
unforeseen	imprevist
maniac	maníac
irragularity	irracularitat
poisonous	verinós
outwit	sorprendre
lackadaisical	faltaadaisical
irrelevance	irrelevancia
doom	destrucció
despicably	despreciablement
arbitrary	arbitrari
proficient	competent
finest	millor
pleasing	agradable
dissed	disseca
offensive	ofensiu
glad	alegre
gullible	engreixable
detrimental	perjudicial
shocked	sorprès
evaluative	avaluatiu
speedily	ràpidament
invidious	inadequat
afflict	aflicció
mysteriously	misteriosament
triumphantly	triomfant
downside	avall
reclaim	recuperar
measly	miserable
chagrin	disgust
freezing	congelació
severe	severa
unraveled	desenfrenat
anarchistic	anarquista
stains	taques
blasphemy	blasfèmia
stuttering	tartamudesa
strangely	estranyament
creak	crek
foolishness	insensatesa
blasted	picat
hardship	dificultats
unlamentably	inequívocament
wisdom	saviesa
distinction	distinció
aweful	sorollós
wrinkle	arruga
resentment	ressentiment
humility	humilitat
misunderstood	incomprendido
oblique	oblic
aghast	agotar
misreading	falsificació
misses	falla
burned	cremat
murderously	assassinat
sticky	enganxós
irrationals	irracionals
commend	felicitar
flair	estil
bleed	sagnar
trivially	trivialment
aspiration	aspiració
lacking	mancat
vomited	vomitat
messed	embolicat
fake	fals
interesting	interessant
maddening	enloobant
flout	rebutjar
sidetracked	desviat
accessable	accessible
humiliation	humiliació
magic	màgia
adventuresome	aventurer
stiffness	rigidesa
complacent	complaent
inexpert	inexperts
faint	feble
vouch	aval
troublesome	problemàtic
standout	destacat
instable	inestable
trash	escombraries
conceit	presumir
hallucination	al·lucinació
disloyal	deslleial
complain	queixar-se
argumentative	argumentatiu
ergonomical	ergonòmic
smack	cop
untouched	intacte
easing	alleujament
upset	molest
aborted	avortat
thorny	espinós
traduce	traduir
oddly	estranyament
excel	sobresortir
prick	picar
blurry	borrós
disturbingly	inquietant
steal	robar
dripping	degoteig
exterminate	exterminar
pessimism	pessimisme
irrecoverablenesses	irrecuperables
fatalistically	fatalísticament
sneer	espiar-se
rejuvenated	rejovenit
reassure	tranquil·litzar
unnerved	nerviós
discredit	descrèdit
hubris	boig
lavish	luxós
gangster	mafiós
ambitiously	ambiciós
squash	carabasseta
counter-productive	contraproduent
joyous	alegre
partiality	parcialitat
junkyard	ferralla
grating	reixeta
uncontrolled	descontrolada
blandish	descarat
soundness	solidesa
reverently	reverència
incautious	incrèdul
gained	guanyat
inactive	inactiu
bonus	bonificació
enraging	enfuriant-se
resurgent	ressorgir
dignified	digna
difficulties	dificultats
dissembler	dissemblador
undermined	soscavat
grievous	dolent
disastrous	desastrós
spoil	espatllar
emergency	emergència
glory	glòria
instructive	instructiu
disrespectablity	desespectabilitat
cheap	barat
indeterminably	indeterminadament
melodramatic	melodramàtic
winners	guanyadors
squeaky	esgarrifós
disquietingly	inquietantment
jealous	gelós
oblivious	oblidat
sadden	trist
ingratitude	ingratitud
exploitation	explotació
infest	infesta
whining	ploriqueig
terrifically	terriblement
eye-catching	cridaner
belie	desmentir
equitable	equitatiu
harrow	rampa
negate	negar
desperation	desesperació
ruin	ruïna
flakieness	fluïdesa
spectacular	espectacular
distrust	desconfiança
disapointed	decebut
compact	compacte
dissatisfies	descontents
shortness	falta
fatally	fatalment
prettily	preciósament
charmingly	encantadorament
impurity	impuresa
deterioration	deteriorament
harangue	arengue
denied	negat
impede	impedir
slashing	tallant
mistake	errada
optimism	optimisme
denial	negació
exceed	superar
gifted	dotada
waning	disminuint
regreted	lamentat
reliable	fiable
exploit	explotar
scarcity	escassetat
tension	tensió
selfish	egoista
manic	maníac
convincingly	convincent
traumatic	traumàtic
honoring	honorar
sadness	tristesa
haughty	altíssim
sly	astut
amiss	malament
bewildering	desconcertant
discomfort	incomoditat
reverence	reverència
pillage	pillatge
despotism	despotisme
disintegration	desintegració
serene	serè
revolting	revoltant
paradoxical	paradoxal
mobster	mafiós
heartwarming	ardent
denunciate	denunciar
gratified	satisfet
courtly	cortesana
positive	positiu
frustration	frustració
conciliatory	conciliador
struck	copejat
troublemaker	problemàtic
preposterously	absolutament
debility	debilitat
exhort	exhortar
snub	desenfrenat
endorsing	aval
waste	malbaratament
ghetto	gueto
detraction	detracció
monster	monstre
saintly	sant
scream	crit
entrust	confiar
oppression	opressió
consummate	consumat
realistic	realista
imposing	imposant
sneakily	sorollosament
lovable	amable
upseting	molestant
boycott	boicot
exciting	emocionant
teasingly	exageradament
bleakness	descoratjament
honesty	honestedat
maledict	maledicció
saint	sant
hum	brunzit
sneak	colar-se
brotherly	fraternal
swamped	inundat
aggrivation	agressivitat
fractiously	fracturalment
chastisement	castigament
courageous	valent
calamitous	calamitoso
overbalance	sobrebalance
devastating	devastador
dissidence	dissidència
bullyingly	bulliciós
slug	escletxa
floored	sòl
negative	negatiu
phobic	fòbic
indignity	indignitat
despondency	desanimació
frigid	frigida
brittle	trencadís
credence	credibilitat
inadverently	inadvertidament
prudently	prudentment
reluctant	reticent
ferocity	ferocitat
deluded	enganyat
scorching	escumejant
dissocial	dissociador
enticed	seduït
serenity	serenitat
cackle	xerra
caustically	caòticament
suspiciously	sospitosament
blissful	feliç
annoy	molestar
insignificance	insignificància
devious	desviat
bountiful	abundant
abysmally	abismalment
convience	conveniència
messes	embolics
better	millor
ire	ira
redemption	redempció
malcontented	malcontentat
repress	reprimir
thankful	agraït
enchanting	encantador
squander	desperdiciar
blemish	defecte
expropriate	expropiat
trap	trampa
shimmer	brillo
encouragingly	encoratjadorament
irritations	irritacions
recomend	recomana
stinks	pudor
wripping	trencant
smallish	petitíssima
unity	unitat
exellent	excel·lent
runaway	fugitiu
ruining	arruïnant
catastrophically	catastròficament
limitation	limitació
havoc	estralls
indecently	indecent
uplift	aixecament
unintelligible	inintel·ligible
meticulous	meticulós
merriment	alegria
flat-out	pla
unusually	inusual
betray	trair
concern	inquietud
unstable	inestable
uproarous	allau
conveniently	convenientment
fruitless	infructuós
arrogance	arrogància
fiendish	diabòlic
pitiful	lamentable
rectifying	rectificació
sued	demandat
embroilment	embriatge
melodramatically	melodramàticament
defective	defectuós
bankrupt	fallida
raked	rastellat
triumphant	triomfant
diligence	diligència
timid	tímid
mire	mira
blockhead	bloqueig
detracts	disminueix
loser	perdedor
stylized	estilitzat
inconceivable	inconcebible
inexpensive	barat
disorderly	desordenat
dashing	corrent
impulsively	impulsivament
infamously	infamamente
indignantly	indignat
concise	concisa
welcome	benvinguda
pleases	agrada
defunct	desaparegut
blatantly	descaradament
discontentedly	descontentament
barbarity	barbaritat
virulence	virulència
exacerbate	empitjorar
miraculous	miraculós
disreputable	indescriptible
admiration	admiració
fabrication	fabricació
guilty	culpable
