2-faces	2-caras
amusing	divertido
amusingly	graciosamente
anarchism	anarquismo
anarchist	anarquista
anarchistic	anarquista
anarchy	anarquía
anemic	anémico
angel	ángel
angelic	angelical
anger	cólera
angrily	airadamente
angry	enojado
anguish	angustia
animosity	animosidad
annihilate	aniquilar
annihilation	aniquilación
annoyance	molestia
annoyances	molestias
annoyed	irritado
annoyingly	molestamente
annoying	molesto
annoy	molestar
annoys	late
anomalous	anómalo
anomaly	anomalía
antagonism	antagonismo
antagonist	antagonista
antagonistic	antagónico
antagonize	contrariar
anti-american	antiamericano
anti-israeli	anti-israelí
antipathy	antipatía
anti-proliferation	anti-proliferación
antiquated	anticuado
anti-semites	antisemitas
anti-social	antisocial
antithetical	antitético
anti-white	anti-blanco
anxieties	ansiedades
anxiety	ansiedad
anxious	ansioso
anxiously	ansiosamente
anxiousness	ansiedad
apathetically	apatía
apathetic	apático
apathy	apatía
apocalypse	apocalipsis
apocalyptic	apocalíptica
apologist	apologista
apologists	apologistas
apotheosis	apoteosis
appal	espantar
appalled	aterrado
appall	espantar
appalling	espantoso
appallingly	horriblemente
appeal	apelación
appealing	atractivo
applaud	aplaudir
appreciable	apreciable
appreciate	apreciar
appreciated	apreciado
appreciates	aprecia
appreciative	apreciativo
appreciatively	apreciativa
apprehension	aprensión
apprehensions	aprehensiones
apprehensive	aprensivo
apprehensively	aprensión
appropriate	apropiado
approval	aprobación
approve	aprobar
arbitrary	arbitrario
arcane	arcano
archaic	arcaico
ardent	ardiente
ardently	ardientemente
arduous	arduo
arduously	arduamente
argumentative	discutidor
arrogance	arrogancia
arrogant	arrogante
arrogantly	arrogantemente
articulate	articular
ashamed	avergonzado
asinine	asnal
asperse	hisopear
aspersion	aspersión
aspersions	aspersiones
aspiration	aspiración
aspirations	aspiraciones
aspire	aspirar
assail	atacar
assassin	asesino
assassinate	asesinar
assault	asalto
assurance	garantía
assurances	garantías
assure	asegurar
assuredly	ciertamente
assuring	asegurando
astonish	asombrar
astonished	sorprendido
astonishing	asombroso
astonishingly	asombrosamente
astonishment	asombro
astound	asombrar
astounded	asombrado
astounding	impresionante
astoundingly	pasmosamente
astutely	astutamente
atrocious	atroz
atrocities	atrocidades
atrocity	atrocidades
atrophy	atrofia
attack	ataque
attacks	ataques
attentive	atento
attraction	atracción
attractive	atractivo
attractively	atractivamente
attune	adaptar
audacious	audaz
audaciously	audazmente
audaciousness	audacia
audacity	audacia
auspicious	propicio
austere	austero
authentic	auténtico
authoritarian	autoritario
authoritative	autorizado
autocrat	autócrata
autocratic	autocrático
autonomous	autónomo
available	disponible
avalanche	avalancha
avarice	avaricia
avaricious	avaro
avariciously	avariciosamente
avenge	vengar
averse	contrario
aversion	aversión
avid	ávido
avidly	ávidamente
awarded	otorgado
award	premio
awards	premios
awesome	impresionante
awesomely	impresionantemente
awesomeness	genialidad
awestruck	atemorizado
awe	temor
awful	horrible
awfully	terriblemente
awfulness	horror
awkward	incómodo
awkwardness	torpeza
awsome	impresionante
ax	hacha
babble	balbuceo
backbite	murmurar
backbiting	murmuración
backwardness	atraso
back-wood	back-madera
back-woods	back-maderas
backwoods	rústico
badly	mal
bad	mal
bad	malo
baffled	desconcertado
baffle	deflector
bafflement	desconcierto
baffling	desconcertante
bait	cebo
balanced	equilibrado
balk	obstáculo
banalize	vulgarizar
bane	perdición
banish	desterrar
banishment	destierro
bankrupt	quebrado
barbarian	bárbaro
barbarically	bárbaramente
barbaric	bárbaro
barbarity	barbarie
barbarous	bárbaro
barbarously	bárbaramente
bargain	ganga
barren	bares
baseless	infundado
bash	fiesta
bashful	tímido
bashing	paliza
bastard	bastardo
bastards	bastardos
battered	maltratadas
battering	maltrato
batty	chalado
bearish	bajista
beastly	bestial
beauteous	hermoso
beautiful	hermoso
beautifully	hermosamente
beautify	embellecer
beauty	belleza
beckoned	señas
beckoning	señas
befoul	ensuciar
beggarly	miserable
beggar	mendigo
begging	mendicidad
beg	mendigar
beguile	engañar
belabor	apalear
belated	tardío
belie	desmentir
believable	creíble
belittled	menospreciado
belittle	empequeñecer
belittling	menosprecio
bellicose	belicoso
belligerence	beligerancia
belligerent	beligerante
beloved	amado
bemoan	lamentar
bemused	confundido
beneficent	benéfico
beneficially	beneficiosamente
beneficial	sano
beneficiary	beneficiario
benefit	beneficio
benefits	beneficios
benevolence	benevolencia
benevolent	benévolo
bent	doblado
berate	regañarse
bereavement	duelo
bereave	privar
bereft	privado
berserk	enloquecido
beseech	implorar
beset	acosar
besiege	sitiar
besmirch	manchar
best	mejor
betrayals	traiciones
betrayal	traición
betrayer	traidor
betraying	traicionero
betrays	traiciona
betray	traicionar
better	mejor
beutifully	hermosamente
bewail	llorar
bewilder	confundir
bewildered	desconcertado
bewildering	desconcertante
bewilderment	asombro
bewitch	hechizar
biased	parcial
biases	sesgos
bias	parcialidad
bigotries	intolerancias
bigotry	intolerancia
bitch	perra
bitchy	perra
bitingly	mordazmente
biting	mordaz
bitter	amargo
bitterness	amargura
bizarre	extraño
blabber	chismoso
blab	cotilla
blackmail	chantaje
blah	bla
blame	culpa
blameless	irreprochable
blameworthy	censurable
blandish	ablandar
bland	soso
blaspheme	blasfemar
blasphemous	blasfemo
blasphemy	blasfemia
blasted	maldito
blatant	descarado
blatantly	descaradamente
bleakly	desoladamente
bleakness	desolación
bleak	triste
bleeding	sangrado
bleed	sangrar
bleeds	sangra
blemish	mancha
bless	bendecir
blessing	bendición
blind	ciego
blinding	cegador
blindingly	cegador
bliss	felicidad
blissful	feliz
blissfully	felizmente
blister	ampolla
blistering	abrasador
blithe	alegre
bloated	hinchado
blockage	obstrucción
blockbuster	superproducción
blockhead	alcornoque
bloodthirsty	sanguinario
bloody	sangriento
bloom	floración
blossom	flor
blow	golpe
blunder	disparate
blundering	torpe
blunders	errores
blunt	embotado
blur	mancha
blurred	borrosa
blurring	desenfoque
blurry	borrosa
blurs	desenfoques
boastful	jactancioso
boggle	sobresaltarse
bogus	falso
boil	hervir
boiling	ebullición
boisterous	bullicioso
bolster	reforzar
bombard	bombardear
bombardment	bombardeo
bombastic	rimbombante
bomb	bomba
bondage	esclavitud
bonkers	loco
bonny	hermoso
bonuses	bonificaciones
bonus	prima
boom	auge
boost	impulsar
boredom	aburrimiento
bored	perforado
bores	taladros
bore	taladro
boring	aburrido
botch	chapucería
bothered	molestado
bothering	molesto
bother	molestar
bothers	molesta
bothersome	molesto
bountiful	abundante
bowdlerize	expurgar
boycott	boicoteo
braggart	fanfarrón
brainless	estúpido
brainy	inteligente
brand-new	flamante
brashness	desenvoltura
brash	temerario
bravado	bravata
bravery	valentía
brave	valiente
brazen	descarado
brazenly	descaradamente
brazenness	desfachatez
breach	incumplimiento
breakdown	desglose
breaking	rompiendo
break	pausa
breaks	descansos
breakthrough	ruptura
breakthroughs	avances
break-up	ruptura
breakup	ruptura
break-ups	rupturas
breakups	rupturas
breathlessness	disnea
breathtaking	asombroso
breathtakingly	impresionantemente
breeze	brisa
bribery	soborno
bright	brillante
brighten	aclarar
brilliance	brillantez
brilliances	brillos
brilliant	brillante
brilliantly	brillantemente
brimstone	azufre
brisk	enérgico
bristle	cerda
brittle	quebradizo
broken	roto
brood	cría
brotherly	fraternal
browbeat	atemorizar
bruise	contusión
bruised	magullado
bruises	contusiones
bruising	hematomas
brusque	brusco
brutalising	embrutecedor
brutalities	brutalidades
brutality	brutalidad
brutalize	embrutecer
brutalizing	embrutecedor
brutally	brutalmente
brute	bruto
brutish	brutal
buckle	hebilla
buggy	calesa
bugs	insectos
bulkiness	volumen
bulky	voluminoso
bullies	matones
bullish	alcista
bullshit	mierda
bullying	intimidación
bully	matón
bum	culo
bump	chichón
bumped	topado
bumping	chocar
bumps	golpes
bumpy	desigual
bungle	chapucear
bungler	chapucero
bungling	torpeza
bunk	litera
buoyant	boyante
burden	carga
burdensome	gravoso
burdensomely	pesadamente
burned	quemado
burning	ardiente
burn	quemar
burns	quemaduras
bust	busto
busts	bustos
busybody	entrometido
butcher	carnicero
butchery	carnicería
buzzing	zumbido
byzantine	bizantino
cackle	cacareo
cajole	engatusar
calamities	calamidades
calamitous	calamitoso
calamitously	horriblemente
calamity	calamidad
callous	calloso
calm	calma
calming	calmante
calmness	calma
calumniate	calumniar
calumniation	calumnia
calumnies	calumnias
calumnious	calumniosa
calumniously	calumniosa
calumny	calumnia
cancer	cáncer
cancerous	canceroso
cannibal	caníbal
cannibalize	canibalizar
capability	capacidad
capable	capaz
capably	competentemente
capitulate	capitular
capriciously	caprichosamente
capriciousness	capricho
capsize	zozobrar
captivate	cautivar
captivating	seductor
carefree	despreocupado
careless	descuidado
carelessness	descuido
caricature	caricatura
carnage	carnicería
carp	carpa
castigate	castigar
castrated	castrado
casualty	víctima
cataclysm	cataclismo
cataclysmically	cataclísmicamente
cataclysmic	catastrófico
catastrophe	catástrofe
catastrophes	catástrofes
catastrophically	catastróficamente
catastrophic	catastrófico
catastrophies	catástrofes
catchy	pegadizo
caustically	cáusticamente
caustic	cáustico
cautionary	advertencia
cave	cueva
celebrate	celebrar
celebrated	célebre
celebration	celebración
censure	censura
chafe	rozar
chaff	paja
chagrin	disgusto
challenging	desafiante
champion	campeón
chaos	caos
chaotic	caótico
charisma	carisma
charismatic	carismático
charitable	caritativo
charm	encanto
charming	encantador
charmingly	encantadoramente
chaste	casto
chasten	castigar
chastise	castigar
chastisement	castigo
chatterbox	charlatán
chatter	charla
cheap	barato
cheapen	abaratar
cheaply	barato
cheated	engañado
cheat	engañar
cheater	tramposo
cheating	trampa
cheats	tramposos
cheerful	alegre
cheer	humor
cheerless	triste
cheery	alegre
cheesy	caseoso
cherish	apreciar
cherished	querido
cherub	querubín
chic	elegante
childish	infantil
chill	frío
chilly	frío
chivalrous	caballeroso
chivalry	caballería
choke	estrangulación
choleric	colérico
choppy	picado
chore	faena
chronic	crónico
chunky	fornido
civility	civilidad
civilize	civilizar
clamorous	clamoroso
clarity	claridad
clash	choque
classic	clásico
cleaner	limpiador
clean	limpio
cleanliness	limpieza
cleanly	limpiamente
clear	claro
cleared	despejado
clearly	claramente
clears	ocurre
clever	inteligente
cleverly	inteligentemente
cliche	cliché
cliched	cliché
clique	camarilla
clogged	obstruido
clogs	zuecos
clog	zueco
clouding	opacidad
cloud	nube
cloudy	nublado
clueless	despistados
clumsy	torpe
clunky	torpe
coarse	grueso
cocky	gallito
coerce	obligar
coercion	coacción
coercive	coactivo
coherence	coherencia
coherent	coherente
cohesive	cohesivo
cold	frío
coldly	fríamente
collapse	colapso
collude	confabularse
collusion	colusión
colorful	colorido
combative	combativo
comely	gentil
comfortable	cómodo
comfortably	cómodamente
comfort	confort
comforting	consolador
comfy	confortable
comical	cómico
commendable	recomendable
commendably	encomiable
commend	encomendar
commiserate	compadecer
commitment	compromiso
commonplace	vulgar
commotion	conmoción
commotions	conmociones
compact	compacto
compactly	compacta
compassionate	compasivo
compassion	compasión
competitive	competitivo
complacent	complaciente
complained	quejado
complaining	quejarse
complain	quejarse
complaint	queja
complaints	quejas
complementary	complementario
complement	complemento
complemented	complementado
complements	complementos
complex	complejo
compliant	obediente
complicated	complicado
complication	complicación
complicit	complicita
complimentary	cortesía
compliment	cumplido
comprehensive	exhaustivo
compulsion	compulsión
compulsive	compulsivo
concede	conceder
conceded	concedido
conceited	presumido
conceit	presunción
concen	concan
concerned	preocupado
concern	preocupación
concerns	preocupaciones
concession	concesión
concessions	concesiones
conciliate	conciliar
conciliatory	conciliador
concise	conciso
condemnable	condenable
condemnation	condenación
condemn	condemi
condemned	condenado
condemns	condena
condescend	condescender
condescending	condescendiente
condescendingly	condescendientemente
condescension	condescendencia
confess	confesar
confession	confesión
confessions	confesiones
confidence	confianza
confident	confiado
confined	confinado
conflict	conflicto
conflicting	contradictorio
conflicts	conflictos
confound	confundir
confounded	confundido
confounding	confusión
confrontational	confrontación
confrontation	confrontación
confront	criminal
confuse	confuso
confused	confundido
confuses	confunde
confusing	confuso
confusion	confusión
confusions	confusiones
congenial	agradable
congested	congestionado
congestion	congestión
congratulate	felicitar
congratulation	felicitación
congratulations	felicitaciones
congratulatory	congratulatorio
conscientious	concienzudo
cons	contras
conservative	conservador
considerate	considerado
consistent	consistente
consistently	consecuentemente
conspicuous	conspicuo
conspicuously	deberes
conspiracies	conspiraciones
conspiracy	conspiración
conspirator	conspirador
conspiratorial	conspirador
conspire	conspirar
consternation	consternación
constructive	constructivo
consummate	consumado
contagious	contagioso
contaminate	contaminar
contaminated	contaminado
contaminates	contaminantes
contaminating	contaminar
contamination	contaminación
contempt	desprecio
contemptible	despreciable
contemptuous	despreciativo
contemptuously	desdeñosamente
contend	contender
contention	contención
contentious	contencioso
contentment	alegría
continuity	continuidad
contortions	contorsiones
contort	retorcer
contradict	contador
contradiction	contradicción
contradictory	contradictorio
contrariness	contrariedad
contrasty	contrastada
contravene	infringir
contribution	contribución
contrived	artificial
contrive	idear
controversial	polémico
controversy	controversia
convenience	conveniencia
convenient	conveniente
conveniently	convenientemente
convience	conveniencia
convient	práctico
convincing	convincente
convincingly	convincentemente
convoluted	complejo
cool	fresco
cooperative	cooperativa
cooperatively	cooperativamente
correct	correcto
correctly	correctamente
corrode	corroer
corrosion	corrosión
corrosions	corrosiones
corrosive	corrosivo
corrupt	corrupto
corrupted	corrompido
corrupting	corruptor
corruption	corrupción
corrupts	corrompe
cost-effective	rentable
costly	costoso
counter-attack	contraataque
counter-attacks	contraataques
counter-productive	contraproducente
counterproductive	contraproducente
coupists	golpistas
courage	coraje
courageously	valientemente
courageousness	valentía
courteous	cortés
courtly	cortés
covenant	pacto
covetous	codicioso
coward	cobarde
cowardly	cobarde
cozy	cosy
crabby	malhumorados
cracked	agrietado
crack	grieta
cracks	grietas
craftily	astutamente
craftly	artesanalmente
crafty	astuto
cramp	calambre
cramped	estrecho
cramping	calambres
cranky	irritable
crap	mierda
craps	dados
crash	choque
crashed	estrellado
crashes	accidentes
crashing	estrellarse
crass	craso
craven	cobarde
cravenly	cobardemente
craze	manía
crazily	locamente
craziness	locura
crazy	loco
creak	crujido
creaking	crujiente
creaks	cruje
creative	creativo
credible	creíble
credulous	crédulo
creep	arrastrarse
creeping	progresivo
creeps	grima
creepy	horripilante
crept	deslizado
crime	crimen
cringe	encogerse
crippled	lisiado
cripples	lisiados
crippling	paralizante
crisp	crujiente
crisper	rizador
critical	crítico
critic	crítico
criticism	crítica
criticisms	críticas
criticize	criticar
criticized	criticado
criticizing	criticar
critics	críticos
cronyism	amiguismo
crooked	torcido
crook	ladrón
crooks	ladrones
crowdedness	hacinamiento
crude	crudo
cruelties	crueldades
cruelty	crueldad
crumble	desmoronarse
crumbling	desmoronamiento
crumple	arrugarse
crumpled	arrugado
crumples	arruga
crush	aglomeración
crushed	aplastado
crushing	aplastante
cry	grito
culprit	culpable
cumbersome	incómodo
cunt	coño
cunts	coños
cure-all	panacea
cure	cura
cursed	maldito
curse	maldición
curses	maldiciones
curt	brusco
cushy	cómodo
cussed	terco
cuss	maldecir
cute	lindo
cuteness	monería
cutthroat	asesino
cynical	cínico
cynicism	cinismo
damage	daño
damaged	estropeado
damaging	perjudicial
damnable	detestable
damnably	detestablemente
damnation	condenación
damned	maldito
damning	condenatorio
damn	maldito
damper	apagador
dangerousness	peligrosidad
dangerous	peligroso
danger	peligro
danke	gracias
danken	húmedo
daring	atrevido
daringly	atrevidamente
darkened	oscurecido
darken	oscuro
darkness	oscuridad
dark	oscuro
darling	querido
dashing	gallardo
dastardly	ruin
daunt	acobardar
daunting	desalentadora
dauntingly	intimidantemente
dauntless	impávido
dawdle	holgazanear
dawn	amanecer
daze	aturdimiento
dazed	aturdido
dazzled	deslumbrado
dazzle	deslumbrar
dazzling	deslumbrante
deadbeat	perezoso
deadly	mortal
dead	muerto
deaf	sordo
dearth	escasez
death	muerte
debase	degradar
debasement	humillación
debatable	discutible
debauchery	libertinaje
debilitate	debilitar
debilitating	debilitante
debility	debilidad
debt	deuda
debts	deudas
decadence	decadencia
decadent	decadente
decay	decadencia
decayed	deteriorado
deceit	engaño
deceitful	engañoso
deceitfully	engañosamente
deceitfulness	engaño
deceive	engañar
deceiver	engañador
deceivers	engañadores
deceiving	engañoso
decency	decencia
decent	bueno
deception	engaño
deceptive	engañoso
deceptively	engañosamente
decisive	decisivo
decisiveness	decisión
declaim	declamar
decline	disminución
declines	descensos
declining	declinante
decrement	decremento
decrepit	decrépito
decrepitude	decrepitud
decry	censurar
dedicated	dedicado
defamation	difamación
defamations	difamaciones
defamatory	difamatorio
defame	difamar
defeat	derrota
defeating	derrotar
defeats	derrotas
defect	defecto
defective	defectuoso
defects	defectos
defender	defensor
defensive	defensiva
deference	deferencia
defiance	desafío
defiant	desafiante
defiantly	desafiante
deficiencies	deficiencias
deficiency	deficiencia
deficient	deficiente
defile	profanar
defiler	profanador
deform	deformar
deformed	deformado
defrauding	defraudar
deft	hábil
defunct	difunto
defy	desafiar
degenerate	degenerado
degeneration	degeneración
degradation	degradación
degrade	degradar
degrading	degradante
degradingly	degradantemente
dehumanization	deshumanización
dehumanize	deshumanizar
deign	dignarse
dejected	abatido
dejectedly	abatido
dejection	abatimiento
deject	presar
delayed	retrasado
delaying	dilatoria
delay	retraso
delays	retraso
delectable	deleitable
delicacy	delicadeza
delicate	delicado
delicious	delicioso
delight	deleite
delighted	encantado
delightful	encantador
delightfully	deliciosamente
delinquency	delincuencia
delinquent	delincuente
delirious	delirante
delirium	delirio
deluded	iluso
delude	engañarse
deluge	diluvio
delusional	delirante
delusion	ilusión
delusions	ilusiones
demean	degradar
demeaning	degradante
demise	fallecimiento
demolish	demoler
demolisher	demoledor
demon	demonio
demonic	demoníaco
demonized	demonizado
demonize	demonizar
demonizes	demoniza
demonizing	demonización
demoralize	desmoralizar
demoralizing	desmoralizador
denial	negación
denied	negado
denies	niega
denigrate	denigrar
denounce	denunciar
dense	compacto
dent	abolladura
dented	abollado
dents	abolladuras
denunciate	denunciar
denunciation	denuncia
denunciations	denuncias
denying	negando
deny	negar
dependable	confiable
dependably	fiable
deplete	agotar
deplorably	deplorablemente
deplore	deplorar
deploring	deplorando
depraved	depravado
deprave	depravar
deprecate	desaprobar
depress	deprimir
depressed	deprimido
depressing	deprimente
depressingly	depresivamente
depression	depresión
depressions	depresiones
deprived	privado
deprive	privar
deride	ridiculizar
derision	burla
derisive	burlón
derisively	burlonamente
derogatory	despectivo
desecrate	profanar
desert	desierto
desertion	deserción
deservedly	merecidamente
deserving	digno
desiccated	desecado
desiccate	desecar
desirable	deseable
desiring	desear
desirous	deseoso
desolately	tristemente
desolate	solitario
desolation	soledad
despair	desesperación
despairing	desesperado
despairingly	desesperadamente
desperate	desesperado
desperately	desesperadamente
desperation	desesperación
despicable	despreciable
despicably	vilmente
despised	despreciado
despise	despreciar
despoil	despojar
despoiler	despojador
despondence	desaliento
despondency	abatimiento
despondent	abatido
despondently	desaliento
despot	déspota
despotic	despótico
despotism	despotismo
destabilisation	desestabilización
destiny	destino
destitute	indigente
destitution	miseria
destroy	destruir
destroyer	destructor
destruction	destrucción
destructive	destructivo
desultory	inconexo
detachable	desmontable
deter	disuadir
deteriorate	deteriorarse
deteriorating	deterioro
deterioration	putrefacción
deterrent	disuasivo
detestably	detestablemente
detest	detestar
detested	detestado
detesting	detestando
detests	detesta
detract	detraer
detracted	detraído
detracting	desmerecer
detraction	detracción
detracts	detrae
detrimental	perjudicial
detriment	detrimento
devastated	devastado
devastate	devastar
devastates	arrasa
devastating	devastador
devastatingly	devastadoramente
devastation	devastación
deviate	desviarse
deviation	desviación
devil	diablo
devilish	diabólico
devilishly	diabólicamente
devilment	diablura
devilry	diablura
deviously	sinuosamente
deviousness	desviación
devious	tortuoso
devoid	vacío
devout	devoto
dexterous	diestro
dexterously	diestramente
dextrous	diestro
diabolical	diabólico
diabolically	diabólicamente
diabolic	diabólico
diametrically	diametralmente
diatribe	diatriba
diatribes	diatribas
dick	polla
dictator	dictador
died	muerto
die-hard	empedernido
die	morir
dies	muere
difficult	difícil
difficulties	dificultades
difficulty	dificultad
diffidence	timidez
dignified	digno
dignify	dignificar
dignity	dignidad
dilapidated	arruinado
dilemma	dilema
diligence	diligencia
diligent	diligente
diligently	diligentemente
dim	apagarse
din	estruendo
dings	abolladuras
diplomatic	diplomático
dire	calamitoso
direly	imperiosamente
dirts	suciedades
dirt	suciedad
dirty	sucio
disabled	discapacitado
disable	inhabilitar
disaccord	desacuerdo
disadvantage	desventaja
disadvantaged	perjudicado
disadvantageous	desventajoso
disadvantages	desventajas
disaffect	desafectar
disaffected	desafecto
disaffirm	testar
disagreeable	desagradable
disagreeably	desagradablemente
disagreeing	desacuerdo
disagreement	desacuerdo
disallow	rechazar
disapointed	decepcionado
disapointing	decepcionante
disapointment	decepción
disappoint	decepcionar
disappointed	decepcionado
disappointing	decepcionante
disappointingly	decepcionantemente
disappointment	decepción
disappointments	decepciones
disappoints	decepciona
disapprobation	desaprobación
disapproval	desaprobación
disapprove	desaprobar
disapproving	desaprobación
disarm	desarmar
disarray	desorden
disaster	desastre
disasterous	desastroso
disastrous	desastroso
disastrously	desastrosamente
disavowal	desautorización
disavow	desautorizar
disbelief	incredulidad
disbeliever	incrédulo
disclaim	renunciar
discomfort	dolor
discompose	descomponer
disconcert	desconcertar
disconcerted	desconcertado
disconcerting	desconcertante
disconcertingly	desconcertantemente
disconsolate	desconsolado
disconsolately	desconsoladamente
disconsolation	desconsuelo
discontent	descontento
discontented	descontento
discontinued	discontinuado
discontinuity	discontinuidad
discontinuous	discontinuo
discordance	discordancia
discordant	discordante
discord	discordia
discountenance	desaprobar
discourage	desalentar
discouragement	desaliento
discouraging	desalentador
discouragingly	desalentadoramente
discourteous	descortés
discourteously	descortesía
discredit	desacreditar
discrepant	discrepante
discriminate	discriminar
discrimination	discriminación
discriminatory	discriminatorio
disdain	desdén
disdained	desdeñado
disdainful	desdeñoso
disdainfully	desdeñosamente
disfavor	desfavorecer
disgrace	desgracia
disgracefully	vergonzosamente
disgraceful	vergonzoso
disgruntled	descontento
disgruntle	disgustar
disgust	asco
disgusted	disgustado
disgustedly	disgusto
disgustful	repulsivas
disgustingly	asquerosamente
disgusting	repugnante
dishearten	descorazonar
disheartening	descorazonador
dishearteningly	descorazonadoramente
dishonest	deshonesto
dishonestly	deshonestamente
dishonesty	deshonestidad
dishonorable	deshonroso
dishonor	deshonor
disillusion	desilusión
disillusioned	desilusionado
disillusionment	desilusión
disillusions	desilusiones
disinclination	aversión
disingenuous	falso
disintegrated	desintegrado
disintegrate	desintegrarse
disintegrates	desintegra
disintegration	desintegración
disinterest	desinterés
disinterested	desinteresado
dislike	aversión
dislikes	disgustos
disliking	desagrado
dislocated	dislocado
disloyal	desleal
disloyalty	deslealtad
dismally	tristemente
dismal	triste
dismay	consternación
dismayed	consternados
dismaying	desalentador
dismayingly	desalentadoramente
dismissive	desdeñoso
dismissively	despectivamente
disobedient	desobediente
disobey	desobedecer
disordered	desordenado
disorderly	desordenado
disorder	trastorno
disorganized	desorganizado
disorient	desorientar
disoriented	desorientado
disown	repudiar
disparage	menospreciar
disparaging	despectivo
disparagingly	despectivamente
dispirit	desalentar
dispirited	desalentado
dispiritedly	desánimo
displaced	desplazado
displeased	disgustado
displease	desagradar
displeasing	desagradable
displeasure	desagrado
disproportionate	desproporcionado
disprove	refutar
disputed	disputa
dispute	disputa
disquiet	desasosiego
disquieting	inquietante
disquietingly	inquietante
disquietude	desasosiego
disregard	indiferencia
disrespectful	irrespetuoso
disrespectfully	irrespetuosamente
disrespecting	irrespetando
disrupt	interrumpir
disruption	trastorno
disruptive	disruptivo
dissapointed	decepcionado
dissappointing	decepcionante
dissatisfaction	insatisfacción
dissatisfied	insatisfecho
dissatisfies	ordissatisfies
dissatisfy	descontentar
dissemble	disimular
dissembler	disimulador
dissension	disensión
dissent	disidencia
dissenter	disidente
dissention	discordia
disservice	deservicio
dissidence	manzana
dissident	disidente
dissidents	disidentes
dissocial	disociable
dissolute	disoluto
dissolution	disolución
dissonance	disonancia
dissonant	disonante
dissonantly	disonantemente
