stress	estresa
corruption	ustelkeria
unspeakablely	ezezaguna
divinely	jainkotiarra
favorite	gogokoena
bizarre	bizarra
recommend	gomendatzen
rape	bortxaketa
terribleness	izugarri
fatigued	nekatuta
quarrels	liskarrak
subversive	subertsiboa
humorous	umoretsua
meaningful	esanguratsua
accursed	maltzurrez
tidy	txukuna
humane	gizatiarra
lied	gezurra
benefit	onura
insolence	hutsegitea
tantrum	birrindu
fidelity	fideltasuna
delinquent	delincuente
unsustainable	jasanezin
scolding	eskarmentu
ambiguity	anbiguotasuna
heartily	zorionez
irrationally	irrazionalki
madness	eromena
improper	gaizki
hatred	gorrotoa
encourage	animatu
gloriously	gloriosa
sour	gatza
everlasting	betiko
bloodthirsty	basatia
degrading	degradatzea
annihilate	desegin
butchery	harategia
longingly	betirako
exploit	ustiatu
desertion	deserria
brutally	bortitz
wheedle	zurrumurrua
spews	egozten
luxurious	luxuzko
deception	iruzur
considerate	gogoan
criticize	kritikatu
disintegrated	desegin
annoyed	gogaitua
boil	iraki
simplest	errazena
prejudice	kalterik
trumpet	tronpeta
kills	hiltzen
corruptted	hondatuta
combust	konketa
feisty	zorigaiztoko
acrimoniously	zorrotz
cave	haitzuloa
exile	erbestea
rejuvenating	gaztetzea
impulsive	oldartsu
puzzlement	zorrotz
unjustifiable	injustifikagarria
outstanding	nabarmena
marvelled	zoragarria
sick	gaixoa
impenitent	inplizituki
farfetched	zoragarria
preposterous	zoragarria
betrayal	traizio
sloow	motel
opportunistic	oportunista
stalemate	gelditu
stalls	besaulki-patioak
lags	atzerapenak
liberate	askatu
monstrous	munstroa
overloaded	gainkargatuta
self-satisfaction	autoestima
insecure	segurua
wounds	zauriak
disorganized	desorganizatua
deadlock	blokeatuta
regrets	atsekabetzen
grotesque	groteskoa
cynical	zinikoa
eager	irrikaz
remission	barkamena
reforms	erreformak
succeeding	arrakastaz
repulsing	errebotea
obstruction	oztopoak
peaceable	baketsua
acerbically	akerbiko
insincerity	ezintasuna
supurbly	goibel
revolutionizes	iraultzen
disinterest	desinteresatu
convincingly	konbentzionalki
hypocrites	hipokritak
fastest	azkarrena
vomit	oka
shock	harritu
crueler	krudela
impediment	inpedantzia
curt	labur
obsession	obsesioa
horrify	izutur
capsize	gorpuztu
proving	frogatzen
sadness	tristura
invidious	inbidia
bent	okertua
bores	aspertzen
frenzy	frenesi
lunatic	lunatikoa
seriousness	seriotasuna
imprisonment	espetxeratzea
exhausted	agortu
incoherence	inkoherentzia
antiquated	zaharkitua
defender	defendatzailea
cheaply	merkea
seethe	haserre
endorse	onartu
nastiness	nazka
delay	atzerapena
snappish	zorrotz
succeed	arrakasta
addicting	mendekotasun-sortzaile
deviously	nazka
anti-american	anti-amerikarra
reforming	erreforma
smile	irribarre
remorseful	errukitsua
annoying	gogaikarriak
rusty	oxidoa
perverse	gaiztoa
safely	segurtasunez
winning	irabazle
promised	agindua
clumsy	baldarra
fat-cat	gantz-katua
reviled	gaitzespena
vainly	harro
disconcertingly	ezezaguna
mistified	mistiki
generosity	eskuzabaltasuna
eloquent	elokuenteak
laughable	barreagarria
awkwardness	trakestasuna
fanciful	fantasiazko
impolitic	inpolitikoa
wane	galtzen
flatteringly	zorionez
astonishing	harrigarria
absurdity	absurdua
ideally	idealean
soothe	lasaitu
wonder	galdetu
affirmation	baieztapena
flighty	harrigarria
darling	maitea
ghastly	izugarri
rejecting	baztertzen
thankless	eskerrak
advantages	abantailak
inescapable	ezinezkoa
unnervingly	larrigarri
antipathy	antipatia
unpleasantries	desatsegina
obliterated	ezabatua
spoiled	hondatu
discomfort	deserosotasuna
fallacy	falazia
crooks	lapurrak
plebeian	plebeia
favour	alde
rebuke	errebotea
cheated	engainatu
ambiguous	anbiguoa
vibrating	bibrazio
curse	madarikazioa
enervate	bozkatu
creepy	beldurgarria
discourteous	desatsegina
ironically	ironikoki
deficiencies	gabeziak
ailment	gaixotasuna
corrupted	hondatuta
approve	onestea
ridicule	irrigarri
nettlesome	neskatila
maturity	mugaeguna
stain	orban
futile	inozoa
strictly	zorrozki
overrun	inbaditu
nightmare	amesgaiztoa
misleading	engainagarria
angriness	haserre
butcher	harategia
distorts	distortsioak
fallout	erori
grossly	gordin
stability	egonkortasuna
playfully	jolastu
excellence	bikaintasuna
fabricate	fabrikatu
torture	tortura
inferiority	gutxiagotasuna
protect	babestu
illogically	ilogikoki
anguish	larritasuna
gaining	irabazten
exhaust	ihes
over-balanced	orekatua
harmed	kaltetu
infected	kutsatuta
combative	borrokalaria
best-known	ezagunena
enhanced	hobetu
desperate	etsi
denounce	salatu
love	maitasuna
hostile	etsaiak
deceiving	engainatzen
virtuous	virtuoso
kindliness	atsegina
controversial	polemikoa
magnificence	handitasuna
nauseate	nazkatu
ineffective	eraginkorra
unhappiness	zorigaitza
fugitive	iheslari
careless	arduragabekeria
affliction	afrikarekiko
unforgiving	eskuzabala
mushy	mingots
implacable	errugabea
wasteful	alferrikakoa
fortune	fortuna
youthful	gazteak
hate	gorrotoa
hail	txingorra
eye-catch	begi-harrapaketa
wonders	galdetzen
pugnaciously	pugnazously
enthrall	zoragarria
inflated	puztuta
substandard	azpikate
oppressive	zapaltzaileak
tragic	tragikoa
sharpest	zorrotzagoa
idolized	idolizatua
senselessly	zentzugabekeria
breathtakingly	harrigarriro
vociferous	bozgorailua
overwhelms	zoritxarrez
odder	bitxiagoa
antagonistic	antagonista
marvels	zorionak
pathetically	patetikoki
splendor	distira
ruins	hondarrak
catchy	gogoraerrazak
divisiveness	zatiketa
scandalized	eskandalizatua
regressive	regresiva
emaciated	emaztea
chaotic	kaotikoa
congratulate	zorionak
breathlessness	arnasa
charisma	karisma
quaint	pintxoak
manipulators	manipulatzaileak
famished	ospetsu
deprived	pribatua
lover	maitalea
pillory	pikoria
funnily	dibertigarria
unsuspecting	fidakor
criticism	kritika
accomplishments	lorpenak
damaging	kaltegarriak
exaggerate	exageratzea
strikingly	zoragarria
ironic	ironikoa
struggling	borrokan
spilling	isurketak
magnificent	bikaina
animosity	animositatea
impartiality	inpartzialtasuna
vehement	sutsua
sorely	mina
solid	ona
roomy	gelaxka
valuable	baliotsua
freeze	izoztu
cheerful	alaia
hatefully	gorrotoz
objection	objekzioa
spendy	pasahitza
shockingly	harrigarri
womanizer	emakume-zale
servitude	zerbitzura
scrambled	nahaskeria
steadfastly	etengabe
hopeful	itxaropentsua
hostility	etsaitasuna
stench	estutu
inclement	gaitzespena
indignant	indignado
fearfully	beldurrez
cripples	elbarrituak
hothead	liskartia
violation	urratzea
modern	modernoa
refinement	fintasun
preferable	hobe
rigidness	zurruntasuna
stressfully	estresagarria
passion	pasioa
tenaciously	tenazously
eminent	eminente
inconsiderately	ezezaguna
contrariness	kontrabandoa
subsidize	diru-laguntza
silent	isilik
motionless	geldirik
polished	leundua
disrespectfulness	irresponsabilitatea
idiots	idiotak
solemn	solemne
hamper	zikindu
nicer	hobeto
get-rich	aberatsa
shortcomings	hutsegiteak
harmful	kaltegarriak
handsome	ederra
steep	aldapatsuak
overheat	berotu
castigate	kastigatu
fever	sukarra
dissent	desadostasuna
bereavement	doluz
overzealously	gehiegizkoa
nervousness	urduritasuna
erratic	erratikoa
openness	irekitasuna
pluses	gehiago
notoriously	ezaguna
calm	lasai
enemies	etsaiak
misguided	misguide
smells	usainak
twinkly	gogotsu
satisfies	satisfe
smoulder	smolder
cheaper	merkeagoa
plush	felpa
instigators	instigatzaileak
lengthy	luzea
durable	iraunkorrak
restructure	berregituratu
futuristic	futurista
virtuously	biziki
improving	hobetzeko
smoother	leuna
fast	azkar
desititute	desiragarria
inexcusable	eskuzabala
fashionable	modan
hug	besarkada
fateful	zorigaitza
infiltrator	infiltrazio
revolutionize	iraultza
progressive	progresiboa
wonderously	zoragarria
liar	gezurti
flaw	akatsa
erodes	erodioak
uplifting	eredugarria
swelling	hantura
horrifying	izuturik
aggravate	larriagotu
bastard	bastardo
licentiously	lizentiously
superiority	nagusitasuna
ridicules	irrigarriak
disturbed	araztua
refutation	errefusatzea
fat-cats	gantz-katuak
downturns	jaitsierak
melodramatic	melodramatikoa
neurotically	neurotikoki
exquisite	dotorea
toll-free	dohainik
lukewarm	epeletan
overtaken	gainditu
impossible	ezinezkoa
crumble	desegin
unacceptable	onartezin
fictitious	fikziozkoak
clique	klikatu
miss	galdu
undependability	undependable
insanity	eromena
unrealistic	sinesgaitz
timely	puntuala
obstructing	oztopatzen
infiltrators	infiltratzaileak
incessantly	etengabe
luxury	luxua
friendliness	lagunartekoa
shortage	eskasia
alarmed	alarma
disappoints	deuseztapenak
worried	kezkatuta
allegations	alegazioak
cornerstone	giltza
daringly	ausartak
undisputed	ezusteko
bastards	bastardoak
dissuasive	disuasio
peril	arriskua
illegally	ilegalki
irritation	narritadura
steadfastness	egonkortasuna
prudent	zuhurra
warned	ohartarazi
ineloquently	inelookly
enthusiasm	ilusioa
neglect	ahaztea
refreshed	freskatu
cliched	klikatu
angrily	haserre
narrower	estuagoa
unhappy	zorigaiztoko
thrive	hazten
infernal	infernua
squabble	gogoa
tyrannically	tiranikoki
dead-on	hilda
monotony	monotonia
diabolic	diabolikoak
dissappointed	desabantailen
inflammation	hantura
strife	gatazka
hell	infernua
irresponsibly	irresponsiboki
swollen	puztuta
realistic	errealista
plague	izurria
tacky	txarra
balanced	orekatua
plunder	lapurreta
chilly	hotza
pollute	kutsatu
unviewable	ikusezina
trick	trikimailu
stampede	zigilua
dusty	hautsez
pardon	barkamena
staunch	zoragarria
beneficent	onuragarria
wasting	alferrik
breakups	hausturak
irony	ironia
torturing	torturatu
exceedingly	asko
fiery	sutsua
illness	gaixotasuna
tumbles	erorketak
meritorious	zoragarria
raped	bortxatua
mess	nahastu
slowwww	motel
wicked	gaiztoa
recovery	berreskuratzea
inattentive	ahaztuta
revoke	errebokatu
exaltingly	altxorra
scorn	baztertu
superbly	bikaina
dominated	nagusi
lamentably	zoritxarrez
succeeds	arrakasta
plentiful	ugaria
easy	erraza
felonious	zoriontsu
nettle	ortiga
stuck	itsatsita
beautifully	ederki
flourish	loratu
exclusion	bazterkeria
irretating	irretatea
tender	lizitazio
fascination	lilura
unfortunate	zorigaiztoko
disadvantage	desabantaila
easier	errazagoa
successfully	arrakastaz
deservedly	merezi
astonishingly	harrigarriro
vibrate	bibratu
stressful	estresagarria
lighter	arinagoa
rectification	zuzenketa
disloyalty	desleialtasuna
aspire	aspiratu
spoilage	hondatu
shame	lotsa
conciliate	konbikatu
zenith	gailurra
contentment	pozik
thumb-up	hatzgora
misfit	bihurria
thoughtfully	pentsakor
pitiable	zoragarria
blurred	lausotu
disapointing	zoritxarrez
frolic	fruitu
faithfully	fideltasunez
fanatical	fanatikoak
solicitously	eskatuz
progress	aurrerapena
forsake	utzi
omit	ahaztea
raptureous	izoztuak
isolated	isolatua
amicability	lagunartekoa
dexterously	zorrotz
subdued	kaltetuta
prosperity	oparotasuna
anti-white	anti-zuri
user-friendly	erabilerraza
melancholy	malenkonia
handsomely	ederki
lawfully	legez
havoc	hondamena
jealousness	jeloskortasuna
majestic	dotorea
violate	urratzen
overpower	gorrotoa
demoralize	desmoralizatzeko
tanks	tankeak
dissenter	disidentzia
charm	xarma
uncertain	inertzia
enhance	hobetu
controversy	polemika
romantic	erromantikoa
light-hearted	argi-bihotza
noise	zarata
fatigue	nekea
miserly	gaizki
revile	iraultza
refuted	errefutazioa
gloomy	iluna
fondness	zaletasuna
self-determination	autodeterminazioa
boring	aspergarria
sensational	sentsazionala
renown	ezaguna
backwardness	atzerantza
collapse	kolapsoa
astound	astindu
admonishment	kargu
manipulate	manipulatu
waste	hondakinak
surrender	errendizioa
temptation	tentazioa
reform	erreforma
radicalization	erradikalizazioa
downbeat	beheranzkoa
antithetical	antitetikoak
plot	lursailean
anarchist	anarkista
debase	zorroztasun
calumniously	lasai
faithfulness	fideltasuna
rival	aurkaria
supporter	laguntzaile
humor	umorea
sham	iruzur
whore	puta
fine	fina
harmony	harmonia
remunerate	ordaintzea
sink	hondoratu
empathize	enpatia
tarnishing	edatekoa
spitefully	gorrototsu
unequivocal	inequivocal
deprecate	deuseztatzea
law-abiding	lege-errespetua
falsehood	gezurra
rapture	erritmoa
worst	txarrena
stink	izurrite
fundamentalism	fundamentalismoa
heinous	zoragarria
impudently	lotsagabe
bristle	zuritu
mindless	gogaikarria
extremists	muturrekoak
reverent	ahaztezina
worn	gastatua
mortified	mortifikatua
deceitful	engainagarria
greed	gorrotoa
split	zatitu
rude	zakar
one-sided	bat-aldekoak
dirty	zikin
infallible	infalible
praise	laudorio
disputable	eztabaidagarria
innovation	berrikuntza
tank	depositua
spiteful	gorrototsu
unpleasant	desatsegina
smell	usaina
uneasily	deseroso
masterpiece	maisulana
jaw-dropping	beherakada
objectionable	objektiboa
turbulent	turbulentea
wrinkle	zimurra
dexterous	zoragarria
sustainability	iraunkortasuna
cohere	konbinatu
unlikely	nekez
heresy	heresia
grandeur	handitasuna
inadvisable	ezohikoa
traumatically	traumatikoki
enrich	aberastu
simplifying	sinplifikatzea
infringement	arau-hauste
hedge	estaldura
ruffle	erruleta
furor	amorru
disillusions	desilusioak
repugnance	errebindikazioa
nauseatingly	nazkatuz
mortifying	beldurrezko
incompetent	ezgai
layoff	despedida
agony	agonia
impedance	inpedantzia
exalting	goratzea
disgusted	atsekabetu
anemic	anemia
relentlessness	ergelkeria
inhospitality	ospitale
garbage	zaborra
erode	higatu
solidarity	elkartasuna
unquestionable	ezinbestekoa
occlude	ezkutatu
toughest	gogorra
hallowed	santua
illiterate	analfabetoa
abrasive	urratzailea
cuteness	zaintza
praiseworthy	zoragarria
unconstitutional	inkonstituzionala
blessing	bedeinkazioa
sweaty	izerdia
dismaying	lotsagarria
tentatively	tentagarria
collude	konplize
breakthrough	aurrerapena
obsess	obsesionatuta
instantly	berehala
prudence	zuhurtzia
togetherness	elkarrekin
remorseless	gogaikarria
regrettably	zoritxarrez
invincibility	invencibility
stubborn	zuhurra
inaccuracies	zehazgabeak
achievement	lorpen
disapointed	zoritxarrez
dejection	deiekzioa
selfishness	berekoitasuna
thwart	gelditu
resourceful	baliabide
luminous	argitsua
impinge	eragina
oblivious	ahaztuta
dissatisfying	desatsegina
stupid	ergelak
inimical	inimikoa
refuting	errefusatzea
unrivaled	paregabea
beneficial	onuragarria
problems	arazoak
strict	zorrotza
restless	geldiezina
excellently	bikaina
hard-liner	gogorra
anti-proliferation	antiproliferazioa
fiend	fedea
bumps	kolpeak
intoxicate	intoxikatu
personalized	pertsonalizatua
compulsion	konpultsioa
betrays	traizioak
fawningly	beldurrez
ardent	ardatza
retreat	erretiroa
rascals	bihurria
maneuverable	maniobragarria
confuses	nahastu
stereotypical	estereotipatu
frightful	beldurgarria
precariously	prekariatuta
revert	itzuli
freed	askatu
interruptions	etenaldiak
questionable	zalantzagarria
interfere	oztopatzeko
ragged	errautsak
brutalize	bortizatu
crook	erruduna
messy	nahastuta
shine	distira
heartbreaking	bihotz-erdiragarria
ineligible	ezinezkoa
pickets	piquetes
fatefully	zoritxarrez
hardhearted	gogorra
fragmented	zatikatua
radiant	distiratsu
disadvantages	desabantailak
flattering	zorionak
refute	errefusatu
hedonistic	hedonistikoa
decisive	erabakigarria
supreme	gorena
biting	ziztada
downheartedly	zorionez
illumine	illuminatu
plagiarize	plagiarizatu
defeat	garaipena
congested	konplexua
enough	nahikoa
unyielding	setati
destitution	desobedientzia
solicitous	eskatuz
conservative	kontserbadorea
aimless	helburua
brazenly	ausarki
mercy	errukia
enjoyment	gozamena
imprecision	zehaztugabetasuna
condemned	kondenatu
exemplary	eredugarria
spoon-feed	koilara-feed
sinfully	bekatari
fucking	madarikatu
wrip	urratu
clogs	zuloak
imaginative	irudimenezkoa
praising	laudorioa
hated	gorrotatua
self-criticism	autokritika
crass	txarra
commotions	bozgorailuak
decayed	desegin
dispirit	desaktibatuta
wreck	hondamena
secure	segurua
killed	hil
dismally	gaizki
sin	bekatua
ignorance	ezjakintasuna
buckle	belarria
denies	ukatzen
smouldering	smoldering
daring	ausartak
outbreak	lehertzea
negative	negatiboa
confidence	konfiantza
affection	afekzioa
adversary	aurkaria
stabilize	egonkortzea
dumped	desegin
lovely	ederra
spellbinding	ortografia
unemployed	langabezian
enrage	gorrotoa
mundane	ohiko
dirt-cheap	zikinkeria-merkea
slumpping	erorketa
alienate	baztertu
losing	galdua
happier	zoriontsuagoak
vomiting	oka
offenses	delituak
constructive	konstruktiboa
admirably	bikaina
glorious	gloriosa
upgradeable	berritze
desolately	desolatu
dogmatic	dogmatikoa
strangest	bitxikeriak
condemnation	gaitzespena
excuses	aitzakiak
galling	gantz
humiliate	umiliatu
tragically	tragikoki
suicidal	suizida
visionary	ikuslea
bore	aspertu
keenly	gogotsu
brighter	argiagoa
dropouts	abandonatuak
frenetic	frenetikoa
heavy-handed	zorrotza
richness	aberastasuna
bother	kezkatu
readable	irakurgarria
hurting	zauritzen
lunaticism	lunatikotasuna
tantalize	tantalizatu
defeated	garaitu
upsets	atsekabetzen
irregularity	irregularitatea
naive	inozoa
risks	arriskuak
jitters	hartzidura
dismayed	lotsagarria
trample	zapaldu
heroically	heroikoki
awfully	beldurgarri
incommensurate	urritasuna
crisis	krisia
liable	erantzule
versatility	aldakortasuna
evocative	iradokitzailea
excelent	bikaina
sorrowful	tristea
revolutionary	iraultzailea
casualty	zentzugabekeria
disappointments	desilusioak
sceptical	eszeptikoa
confident	ziur
rough	zakarra
woefully	zoritxarrez
brightest	distiratsuena
impatiently	etengabe
preferes	nahiago
poorest	pobreena
unfit	ezinduak
credulous	kredulua
reject	baztertu
pleasantly	atsegina
tragedy	tragedia
burns	erredurak
mercilessly	bihozgabe
tough	gogorra
well-being	ongizatea
shameless	lotsagabe
dictator	diktadorea
skittishly	lotsati
gains	irabaziak
presumptuously	ustez
clueless	esklabotza
discouraging	gezurra
relent	zurrumurrua
optimistic	baikor
friction	marruskadura
domineer	domina
strong	indartsua
inequalities	desberdintasunak
dreadfulness	beldurra
modest	apala
bumpping	ziztadak
patiently	pazientziaz
calamity	kalamity
despairingly	desesperingly
depraved	ahaztuta
willing	prest
monstrously	monstruoso
bothering	kezkatzen
partiality	partzialitatea
issues	gaiak
vague	lausoa
imaginary	irudimenezkoa
weaker	ahulagoa
sloppy	zoritxarrez
irresolvable	irresolgarria
untrue	gezurra
assurances	bermeak
volatility	lurrunkortasuna
limitation	mugaketa
commendable	komenigarria
darkened	ilunpean
torturously	torturantea
affront	afrentatu
reassurance	lasaitasuna
disturbing	kezkagarria
distinguished	bereizgarria
moribund	moribundoa
bonuses	hobariak
repudiation	ukatzea
forgetfully	ahaztuz
fascinate	liluratzen
liberty	askatasuna
unreliability	fidagaitasuna
merciless	bihozgabea
witty	zoragarria
generously	eskuzabal
heartfelt	zoriontsu
downturn	jaitsiera
elimination	ezabatzea
desirable	desiragarria
breaking	hausten
skeptical	eszeptikoa
tangle	nahasketa
